//Category   BaseIndex   MainIndex   ItemIndex   CoinIndex   CoinValue   BonusGP   BaseIdx1   BaseIdx2   BaseIdx3   BaseIdx4   BaseIdx5   BaseIdx6   BaseIdx7   BaseIdx8   BaseIdx9   BaseIdx10   MainIdx1   MainIdx2   MainIdx3   MainIdx4   MainIdx5   MainIdx6   MainIdx7   MainIdx8   MainIdx9   MainIdx10
27           9           164         7306        508         400         0         32         69         70         117        123        124        125        126        0          0           0          0          0          0          0          0          0          0          0          0
27           10          163         7302        508         500         0         115        116        118        119        120        121        122        0          0          0           0          0          0          0          0          0          0          0          0          0
27           2           141         7260        508         180         0         32         0          0          0          0          0          0          0          0          0           54         0          0          0          0          0          0          0          0          0
27           3           81          7263        508         80          0         34         0          0          0          0          0          0          0          0          0           56         0          0          0          0          0          0          0          0          0
27           11          13          7280        508         20          0         69         0          0          0          0          0          0          0          0          0           117        0          0          0          0          0          0          0          0          0
27           12          12          7281        508         60          0         70         0          0          0          0          0          0          0          0          0           118        0          0          0          0          0          0          0          0          0
27           13          99          7221        508         100         0         22         0          0          0          0          0          0          0          0          0           37         38         0          0          0          0          0          0          0          0
27           15          115         6710        508         250         0         14         0          0          0          0          0          0          0          0          0           24         0          0          0          0          0          0          0          0          0
27           16          113         6711        508         250         0         15         0          0          0          0          0          0          0          0          0           25         0          0          0          0          0          0          0          0          0
27           17          111         6712        508         250         0         16         0          0          0          0          0          0          0          0          0           26         0          0          0          0          0          0          0          0          0
27           18          109         6713        508         250         0         17         0          0          0          0          0          0          0          0          0           27         0          0          0          0          0          0          0          0          0
27           19          107         6714        508         250         0         18         0          0          0          0          0          0          0          0          0           28         0          0          0          0          0          0          0          0          0
28           1           71          6725        508         50          0         40         0          0          0          0          0          0          0          0          0           66         0          0          0          0          0          0          0          0          0
28           2           69          6726        508         40          0         41         0          0          0          0          0          0          0          0          0           67         0          0          0          0          0          0          0          0          0
29           1           125         6699        508         100         0         9          0          0          0          0          0          0          0          0          0           9          10         11         12         0          0          0          0          0          0
29           2           123         6700        508         150         0         10         0          0          0          0          0          0          0          0          0           13         14         15         16         0          0          0          0          0          0
29           3           121         6701        508         80          0         11         0          0          0          0          0          0          0          0          0           17         18         19         0          0          0          0          0          0          0
29           4           75          6718        508         120         0         38         0          0          0          0          0          0          0          0          0           62         63         0          0          0          0          0          0          0          0
