//BaseIndex   MainIndex   CoinValue   ItemIndex   ItemLevel   ItemOption1   ItemOption2   ItemOption3   ItemNewOption   ItemSetOption   ItemJoHOption   Item380Option   ItemSocketOption1   ItemSocketOption2   ItemSocketOption3   ItemSocketOption4   ItemSocketOption5   ItemQuantity   ItemDuration
32            54          180         7260        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              0
117           176         0           7263        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              0
123           182         100         7221        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              0
70            118         60          7281        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              0
124           183         0           7280        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              0
125           184         20          7280        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              0
126           185         20          7280        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              0
69            117         20          7280        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              0
115           174         0           7240        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
116           175         0           7301        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 10             0
118           177         130         6763        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
119           178         100         6720        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
120           179         150         7266        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
121           180         120         6761        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
122           181         0           6769        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
32            54          180         7260        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              0
34            56          80          7263        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              0
69            117         20          7280        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              0
70            118         60          7281        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              0
22            37          100         7221        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              0
22            38          400         7221        4           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              0
14            24          250         6710        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 20             0
15            25          250         6711        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 20             0
16            26          250         6712        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 20             0
17            27          250         6713        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 20             0
18            28          250         6714        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 20             0
40            66          50          6725        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              0
41            67          40          6726        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              0
9             9           100         6699        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
9             10          250         6699        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              259200
9             11          500         6699        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              604800
9             12          1400        6699        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              2592000
10            13          150         6700        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              86400
10            14          350         6700        0           0             0             0             0               0               0               0               255                 255                 255                 255                 255                 0              259200
