//Class   Index   StatType   SpecType   MinStat   MaxStat   MinRate   MaxRate
0         0       3          9          1         1500      0         10
0         0       3          9          1501      2000      10        30
0         0       3          9          2001      3000      30        45
0         0       3          9          3001      65535     45        45
0         1       1          2          1         1500      0         10
0         1       1          2          1501      2000      10        30
0         1       1          2          2001      3000      30        45
0         1       1          2          3001      65535     45        45
0         2       1          3          1         1500      0         10
0         2       1          3          1501      2000      10        30
0         2       1          3          2001      3000      30        45
0         2       1          3          3001      65535     45        45
1         0       0          1          1         1500      0         10
1         0       0          1          1501      2000      10        30
1         0       0          1          2001      3000      30        45
1         0       0          1          3001      65535     45        45
1         1       1          4          1         1500      0         10
1         1       1          4          1501      2000      10        30
1         1       1          4          2001      3000      30        45
1         1       1          4          3001      65535     45        45
2         0       1          1          1         1800      0         10
2         0       1          1          1801      2100      10        30
2         0       1          1          2101      3000      30        45
2         0       1          1          3001      65535     45        45
2         1       1          6          1         1800      0         10
2         1       1          6          1801      2100      10        30
2         1       1          6          2101      3000      30        45
2         1       1          6          3001      65535     45        45
2         2       1          7          1         1800      0         10
2         2       1          7          1801      2100      10        30
2         2       1          7          2101      3000      30        45
2         2       1          7          3001      65535     45        45
3         0       0          1          1         1500      0         10
3         0       0          1          1501      2000      10        30
3         0       0          1          2001      3000      30        45
3         0       0          1          3001      65535     45        45
3         1       3          9          1         1800      0         10
3         1       3          9          1801      2500      10        30
3         1       3          9          2501      3000      30        45
3         1       3          9          3001      65535     45        45
4         0       0          1          1         1500      0         10
4         0       0          1          1501      2000      10        30
4         0       0          1          2001      3000      30        45
4         0       0          1          3001      65535     45        45
4         1       1          4          1         1500      0         10
4         1       1          4          1501      2000      10        30
4         1       1          4          2001      3000      30        45
4         1       1          4          3001      65535     45        45
5         0       3          9          1         1500      0         10
5         0       3          9          1501      2000      10        30
5         0       3          9          2001      3000      30        45
5         0       3          9          3001      65535     45        45
5         1       3          10         1         1500      0         10
5         1       3          10         1501      2000      10        30
5         1       3          10         2001      3000      30        45
5         1       3          10         3001      65535     45        45
6         0       0          1          1         1500      0         10
6         0       0          1          1501      2000      10        30
6         0       0          1          2001      3000      30        45
6         0       0          1          3001      65535     45        45
7         0       0          1          1         1500      0         10
7         0       0          1          1501      2000      10        30
7         0       0          1          2001      3000      30        45
7         0       0          1          3001      65535     45        45
7         1       1          4          1         1500      0         10
7         1       1          4          1501      2000      10        30
7         1       1          4          2001      3000      30        45
7         1       1          4          3001      65535     45        45
8         0       3          9          1         1500      0         10
8         0       3          9          1501      2000      10        30
8         0       3          9          2001      3000      30        45
8         0       3          9          3001      65535     45        45
8         1       1          2          1         1500      0         10
8         1       1          2          1501      2000      10        30
8         1       1          2          2001      3000      30        45
8         1       1          2          3001      65535     45        45
8         2       1          3          1         1500      0         10
8         2       1          3          1501      2000      10        30
8         2       1          3          2001      3000      30        45
8         2       1          3          3001      65535     45        45
9         0       1          1          1         1500      0         10
9         0       1          1          1501      2000      10        30
9         0       1          1          2001      3000      30        45
9         0       1          1          3001      65535     45        45
9         1       1          6          1         1500      0         10
9         1       1          6          1501      2000      10        30
9         1       1          6          2001      3000      30        45
9         1       1          6          3001      65535     45        45
10        0       3          9          1         1500      0         10
10        0       3          9          1501      2000      10        30
10        0       3          9          2001      3000      30        45
10        0       3          9          3001      65535     45        45
10        1       1          2          1         1500      0         10
10        1       1          2          1501      2000      10        30
10        1       1          2          2001      3000      30        45
10        1       1          2          3001      65535     45        45
10        2       1          3          1         1500      0         10
10        2       1          3          1501      2000      10        30
10        2       1          3          2001      3000      30        45
10        2       1          3          3001      65535     45        45	  
end
