0
//Level   MinLevel   MaxLevel   DW   DK   FE   MG   DL   SU   RF   GL   RW   SL   GC
0         50         199        1    1    1    1    1    1    1    1    1    1    1
1         200        299        1    1    1    1    1    1    1    1    1    1    1
2         300        399        1    1    1    1    1    1    1    1    1    1    1
3         400        549        1    1    1    1    1    1    1    1    1    1    1
4         550        649        1    1    1    1    1    1    1    1    1    1    1
5         650        769        1    1    1    1    1    1    1    1    1    1    1
6         770        *          1    1    1    1    1    1    1    1    1    1    1
end

1
//Level   MinLevel   MaxLevel   DW   DK   FE   MG   DL   SU   RF   GL   RW   SL   GC
0         50         199        1    1    1    1    1    1    1    1    1    1    1
1         200        299        1    1    1    1    1    1    1    1    1    1    1
2         300        399        1    1    1    1    1    1    1    1    1    1    1
3         400        549        1    1    1    1    1    1    1    1    1    1    1
4         550        649        1    1    1    1    1    1    1    1    1    1    1
5         650        769        1    1    1    1    1    1    1    1    1    1    1
6         770        *          1    1    1    1    1    1    1    1    1    1    1
end

2
//Level   MinLevel   MaxLevel   DW   DK   FE   MG   DL   SU   RF   GL   RW   SL   GC
0         50         199        1    1    1    1    1    1    1    1    1    1    1
1         200        299        1    1    1    1    1    1    1    1    1    1    1
2         300        399        1    1    1    1    1    1    1    1    1    1    1
3         400        549        1    1    1    1    1    1    1    1    1    1    1
4         550        649        1    1    1    1    1    1    1    1    1    1    1
5         650        769        1    1    1    1    1    1    1    1    1    1    1
6         770        *          1    1    1    1    1    1    1    1    1    1    1
end

3
//Level   MinLevel   MaxLevel   DW   DK   FE   MG   DL   SU   RF   GL   RW   SL   GC
0         180        299        1    1    1    1    1    1    1    1    1    1    1
1         300        399        1    1    1    1    1    1    1    1    1    1    1
2         400        599        1    1    1    1    1    1    1    1    1    1    1
3         600        769        1    1    1    1    1    1    1    1    1    1    1
4         770        *          1    1    1    1    1    1    1    1    1    1    1
end

4
//Level   MinLevel   MaxLevel   DW   DK   FE   MG   DL   SU   RF   GL   RW   SL   GC
0         50         199        1    1    1    1    1    1    1    1    1    1    1
1         200        299        1    1    1    1    1    1    1    1    1    1    1
2         300        399        1    1    1    1    1    1    1    1    1    1    1
3         400        549        1    1    1    1    1    1    1    1    1    1    1
4         550        649        1    1    1    1    1    1    1    1    1    1    1
5         650        769        1    1    1    1    1    1    1    1    1    1    1
6         770        *          1    1    1    1    1    1    1    1    1    1    1
end
