0
//Year   Month   Day   DoW   Hour   Minute   Second
*        *       *     *     2      0        0
*        *       *     *     8      0        0
*        *       *     *     14     0        0
*        *       *     *     20     0        0
end

1
//Index   State   ItemIndex   ItemCount   ItemIndex   ItemCount
0         1       *           1000000     *           *
1         1       *           1000000     *           * 
2         1       *           1000000     *           *
3         1       *           1000000     *           *
4         1       *           1000000     *           *
5         0       7181        1           *           *
6         0       7182        1           *           *
7         0       7581        1           *           *
8         1       7181        1           *           *
9         1       7181        1           *           *
10        1       7581        3           7181        10
end

2         0
//Index   Option0   Option1   Option2   Option3   Option4   Option5   Option6   GambleRate   Comment
5         9         9         9         9         9         9         9         1290         //Blade
6         9         9         9         9         9         9         9         1290         //Gladius
7         9         9         9         9         9         9         9         1290         //Falchion
8         9         9         9         9         9         9         9         1290         //Serpent Sword
9         9         9         9         9         9         9         9         1290         //Sword of Salamander
10        9         9         9         9         9         9         9         1290         //Light Saber
11        9         9         9         9         9         9         9         1290         //Legendary Sword
12        9         9         9         9         9         9         9         1290         //Heliacal Sword
13        9         9         9         9         9         9         9         1290         //Double Blade
14        9         9         9         9         9         9         9         1290         //Lighting Sword
15        9         9         9         9         9         9         9         1290         //Giant Sword
16        9         9         9         9         9         9         9         1290         //Sword of Destruction
17        9         9         9         9         9         9         9         1290         //Dark Breaker
18        9         9         9         9         9         9         9         1290         //Thunder Blade
20        9         9         9         9         9         9         9         1290         //Knight Blade
25        9         9         9         9         9         9         9         1290         //Sword Dancer
517       9         9         9         9         9         9         9         1290         //Battle Axe
518       9         9         9         9         9         9         9         1290         //Nikea Axe
519       9         9         9         9         9         9         9         1290         //Larkan Axe
520       9         9         9         9         9         9         9         1290         //Crescent Axe
1024      9         9         9         9         9         9         9         1290         //Mace
1025      9         9         9         9         9         9         9         1290         //Morning Star
1026      9         9         9         9         9         9         9         1290         //Flail
1027      9         9         9         9         9         9         9         1290         //Great Hammer
1029      9         9         9         9         9         9         9         1290         //Crystal Sword
1541      9         9         9         9         9         9         9         1290         //Double Poleaxe
1542      9         9         9         9         9         9         9         1290         //Halberd
1543      9         9         9         9         9         9         9         1290         //Berdysh
1544      9         9         9         9         9         9         9         1290         //Great Scythe
1545      9         9         9         9         9         9         9         1290         //Bill of Balrog
1546      9         9         9         9         9         9         9         1290         //Dragon Spear
1547      9         9         9         9         9         9         9         1000         //Brova
7221      *         *         *         *         *         *         *         4000         //Talisman of Luck
7264      *         *         *         *         *         *         *         4000         //Talisman of Chaos Assembly
end

2         1
//Index   Option0   Option1   Option2   Option3   Option4   Option5   Option6   GambleRate   Comment
2562      9         9         9         9         9         9         9         5000         //Serpent Staff
2563      9         9         9         9         9         9         9         5000         //Thunder Staff
2564      9         9         9         9         9         9         9         5000         //Gorgon Staff
2565      9         9         9         9         9         9         9         5000         //Legendary Staff
2566      9         9         9         9         9         9         9         5000         //Staff of Resurrection
2568      9         9         9         9         9         9         9         5000         //Staff of Destruction
2569      9         9         9         9         9         9         9         5000         //Dragon Soul Staff
2571      9         9         9         9         9         9         9         5000         //Staff of Kundun
2593      9         9         9         9         9         9         9         1000         //Chromatic Staff
7221      *         *         *         *         *         *         *         4000         //Talisman of Luck
7264      *         *         *         *         *         *         *         4000         //Talisman of Chaos Assembly
end

2         2
//Index   Option0   Option1   Option2   Option3   Option4   Option5   Option6   GambleRate   Comment
2053      9         9         9         9         9         9         9         3076         //Silver Bow
2056      9         9         9         9         9         9         9         3076         //Crossbow
2057      9         9         9         9         9         9         9         3076         //Golden Crossbow
2058      9         9         9         9         9         9         9         3076         //Arquebus
2059      9         9         9         9         9         9         9         3076         //Light Crossbow
2060      9         9         9         9         9         9         9         3076         //Serpent Crossbow
2061      9         9         9         9         9         9         9         3076         //Bluewing Crossbow
2062      9         9         9         9         9         9         9         3076         //Aquagold Crossbow
2064      9         9         9         9         9         9         9         3076         //Saint Crossbow
2065      9         9         9         9         9         9         9         3076         //Celestial Bow
2067      9         9         9         9         9         9         9         3076         //Great Reign Crossbow
2068      9         9         9         9         9         9         9         3076         //Arrow Viper Bow
2070      9         9         9         9         9         9         9         3076         //Albatross Bow
2072      9         9         9         9         9         9         9         1000         //Aileen Bow
7221      *         *         *         *         *         *         *         4000         //Talisman of Luck
7264      *         *         *         *         *         *         *         4000         //Talisman of Chaos Assembly
end

2         3
//Index   Option0   Option1   Option2   Option3   Option4   Option5   Option6   GambleRate   Comment
1032      9         9         9         9         9         9         9         8000         //Battle Scepter
1033      9         9         9         9         9         9         9         8000         //Master Scepter
1034      9         9         9         9         9         9         9         8000         //Great Scepter
1035      9         9         9         9         9         9         9         8000         //Lord Scepter
1036      9         9         9         9         9         9         9         8000         //Great Lord Scepter
1042      9         9         9         9         9         9         9         1000         //Striker Scepter
7221      *         *         *         *         *         *         *         4000         //Talisman of Luck
7264      *         *         *         *         *         *         *         4000         //Talisman of Chaos Assembly
end

2         4
//Index   Option0   Option1   Option2   Option3   Option4   Option5   Option6   GambleRate   Comment
2574      9         9         9         9         9         9         9         8000         //Mystery Stick
