//Index   ItemMinIndex   ItemMaxIndex   Name                                 Rate   Comment
1         0000           2559           "Add Hunt MP"                        50     //General Weapon
2         0000           2559           "Add Hunt HP"                        50     //General Weapon
4         0000           2559           "Add Speed"                          50     //General Weapon
8         0000           2559           "Mul Physi Damage"                   50     //General Weapon
16        0000           2559           "Add Physi Damage By Level"          50     //General Weapon
32        0000           2559           "Add Excellent Damage Rate"          50     //General Weapon
1         2560           3071           "Add Hunt MP"                        50     //General Staff
2         2560           3071           "Add Hunt HP"                        50     //General Staff
4         2560           3071           "Add Speed"                          50     //General Staff
8         2560           3071           "Mul Magic Damage"                   50     //General Staff
16        2560           3071           "Add Magic Damage By Level"          50     //General Staff
32        2560           3071           "Add Excellent Damage Rate"          50     //General Staff
1         2581           2589           "Add Hunt MP"                        50     //General Book
2         2581           2589           "Add Hunt HP"                        50     //General Book
4         2581           2589           "Add Speed"                          50     //General Book
8         2581           2589           "Mul Curse Damage"                   50     //General Book
16        2581           2589           "Add Curse Damage By Level"          50     //General Book
32        2581           2589           "Add Excellent Damage Rate"          50     //General Book
1         2607           2607           "Add Hunt MP"                        50     //[Bound] Book of Lagle
2         2607           2607           "Add Hunt HP"                        50     //[Bound] Book of Lagle
4         2607           2607           "Add Speed"                          50     //[Bound] Book of Lagle
8         2607           2607           "Mul Curse Damage"                   50     //[Bound] Book of Lagle
16        2607           2607           "Add Curse Damage By Level"          50     //[Bound] Book of Lagle
32        2607           2607           "Add Excellent Damage Rate"          50     //[Bound] Book of Lagle
1         2617           2620           "Add Hunt MP"                        50     //Mastery Book
2         2617           2620           "Add Hunt HP"                        50     //Mastery Book
4         2617           2620           "Add Speed"                          50     //Mastery Book
8         2617           2620           "Mul Curse Damage"                   50     //Mastery Book
16        2617           2620           "Add Curse Damage By Level"          50     //Mastery Book
32        2617           2620           "Add Excellent Damage Rate"          50     //Mastery Book
1         2623           2623           "Add Hunt MP"                        50     //Blue Eye Book
2         2623           2623           "Add Hunt HP"                        50     //Blue Eye Book
4         2623           2623           "Add Speed"                          50     //Blue Eye Book
8         2623           2623           "Mul Curse Damage"                   50     //Blue Eye Book
16        2623           2623           "Add Curse Damage By Level"          50     //Blue Eye Book
32        2623           2623           "Add Excellent Damage Rate"          50     //Blue Eye Book
1         2626           2626           "Add Hunt MP"                        50     //Silver Heart Book
2         2626           2626           "Add Hunt HP"                        50     //Silver Heart Book
4         2626           2626           "Add Speed"                          50     //Silver Heart Book
8         2626           2626           "Mul Curse Damage"                   50     //Silver Heart Book
16        2626           2626           "Add Curse Damage By Level"          50     //Silver Heart Book
32        2626           2626           "Add Excellent Damage Rate"          50     //Silver Heart Book
1         3072           3583           "Add Money Amount Drop Rate"         50     //General Shield
2         3072           3583           "Mul Defense Success Rate"           50     //General Shield
4         3072           3583           "Add Damage Reflect"                 50     //General Shield
8         3072           3583           "Add Damage Reduction"               50     //General Shield
16        3072           3583           "Mul MP"                             50     //General Shield
32        3072           3583           "Mul HP"                             50     //General Shield
1         3584           6143           "Add Money Amount Drop Rate"         50     //General Armor
2         3584           6143           "Mul Defense Success Rate"           50     //General Armor
4         3584           6143           "Add Damage Reflect"                 50     //General Armor
8         3584           6143           "Add Damage Reduction"               50     //General Armor
16        3584           6143           "Mul MP"                             50     //General Armor
32        3584           6143           "Mul HP"                             50     //General Armor
1         6147           6147           "Add Wing HP"                        50     //Wings of Spirit
2         6147           6147           "Add Wing MP"                        50     //Wings of Spirit
4         6147           6147           "Add Ignore Defense Rate"            50     //Wings of Spirit
8         6147           6147           "Add BP"                             00     //Wings of Spirit
16        6147           6147           "Add Speed"                          00     //Wings of Spirit
1         6148           6148           "Add Wing HP"                        50     //Wings of Soul
2         6148           6148           "Add Wing MP"                        50     //Wings of Soul
4         6148           6148           "Add Ignore Defense Rate"            50     //Wings of Soul
8         6148           6148           "Add BP"                             00     //Wings of Soul
16        6148           6148           "Add Speed"                          00     //Wings of Soul
1         6149           6149           "Add Wing HP"                        50     //Wings of Devil
2         6149           6149           "Add Wing MP"                        50     //Wings of Devil
4         6149           6149           "Add Ignore Defense Rate"            50     //Wings of Devil
8         6149           6149           "Add BP"                             00     //Wings of Devil
16        6149           6149           "Add Speed"                          00     //Wings of Devil
1         6150           6150           "Add Wing HP"                        50     //Wings of Darkness
2         6150           6150           "Add Wing MP"                        50     //Wings of Darkness
4         6150           6150           "Add Ignore Defense Rate"            50     //Wings of Darkness
8         6150           6150           "Add BP"                             00     //Wings of Darkness
16        6150           6150           "Add Speed"                          00     //Wings of Darkness
1         6180           6180           "Add Ignore Defense Rate"            50     //Wings of Storm
2         6180           6180           "Add Full Damage Reflect Rate"       50     //Wings of Storm
4         6180           6180           "Add D. Full HP Restore Rate"        50     //Wings of Storm
8         6180           6180           "Add D. Full MP Restore Rate"        50     //Wings of Storm
1         6181           6181           "Add Ignore Defense Rate"            50     //Wings of Space Time
