//Index   Group   Value   Comment
42        0       0       //Bloodangel Sword
44        0       0       //Bloodangel Magic Sword
46        0       0       //Bloodangel Claws
54        0       1       //Darkangel Sword
55        0       1       //Darkangel Magic Sword
56        0       1       //Darkangel Claws
57        0       2       //Holyangel Sword
58        0       2       //Holyangel Magic Sword
59        0       2       //Holyangel Claws
62        0       3       //Soul Sword
63        0       3       //Soul Magic Sword
64        0       3       //Soul Claws
71        0       0       //Bloodangel Short Sword
72        0       1       //Darkangel Short Sword
73        0       2       //Holyangel Short Sword
74        0       3       //Soul Short Sword
75        0       4       //Blue Eye Short Sword
78        0       4       //Blue Eye Sword
79        0       4       //Blue Eye Magic Sword
80        0       4       //Blue Eye Claw
1046      0       0       //Bloodangel Scepter
1050      0       1       //Darkangel Scepter
1051      0       2       //Holyangel Scepter
1056      0       0       //Bloodangel Runic Mace
1057      0       1       //Darkangel Runic Mace
1060      0       3       //Soul Scepter
1062      0       2       //Holyangel Rune Mace
1063      0       3       //Soul Rune Mace
1064      0       4       //Blue Eye Scepter
1065      0       4       //Blue Eye Mace
1555      0       0       //Bloodangel Lance
1560      0       1       //Darkangel Lance
1561      0       2       //Holyangel Lance
1564      0       3       //Soul Lance
1565      0       4       //Blue Eye Lance
2076      0       0       //Bloodangel Bow
2079      0       1       //Darkangel Bow
2082      0       0       //Bloodangel Quiver
2083      0       1       //Darkangel Quiver
2084      0       2       //Holyangel Bow
2085      0       2       //Holyangel Quiver
2086      0       3       //Soul Bow
2087      0       3       //Soul Quiver
2088      0       4       //Blue Eye Bow
2089      0       4       //Blue Eye Quiver
2601      0       0       //Bloodangel Staff
2603      0       0       //Bloodangel Stick
2611      0       1       //Darkangel Staff
2612      0       1       //Darkangel Stick
2613      0       2       //Holyangel Staff
2614      0       2       //Holyangel Stick
2615      0       3       //Soul Staff
2616      0       3       //Soul Stick
2617      0       0       //Book of Bloodangel
2618      0       1       //Book of Darkangel
2619      0       2       //Book of Holyangel
2620      0       3       //Book of Soul
2621      0       4       //Blue Eye Staff
2622      0       4       //Blue Eye Stick
2623      0       4       //Blue Eye Book
3682      1       0       //Bloodangel Knight Helm
3683      1       0       //Bloodangel Wizard Helm
3684      1       0       //Bloodangel Elf Helm (A)
3685      1       0       //Bloodangel Summoner Helm
3687      1       0       //Bloodangel Lord Helm
3688      1       0       //Bloodangel Fighter Helm
3689      1       0       //Bloodangel Lancer Helm
3690      1       3       //Awakening Soul Knight Helm
3691      1       3       //Awakening Soul Wizard Helm
3692      1       3       //Awakening Soul Elf Helm (A)
3693      1       3       //Awakening Soul Summoner Helm
3695      1       3       //Awakening Soul Lord Helm
3696      1       3       //Awakening Soul Fighter Helm
3697      1       3       //Awakening Soul Lancer Helm
3698      1       3       //Awakening Soul Elf Helm (B)
3706      1       0       //Bloodangel Runist Helm
3707      1       1       //Darkangel Runist Helm
3711      1       2       //Holyangel Runist Helm
3712      1       3       //Awakening Soul Runist Helm
3713      1       4       //Blue Eye Runist Helm
3722      1       1       //Darkangel Knight Helm
3723      1       1       //Darkangel Wizard Helm
3724      1       1       //Darkangel Elf Helm (A)
3725      1       1       //Darkangel Summoner Helm
3727      1       1       //Darkangel Lord Helm
3728      1       1       //Darkangel Fighter Helm
3729      1       1       //Darkangel Lancer Helm
3734      1       2       //Holyangel Knight Helm
3735      1       2       //Holyangel Wizard Helm
3736      1       2       //Holyangel Elf Helm (A)
3737      1       2       //Holyangel Summoner Helm
3739      1       2       //Holyangel Lord Helm
3740      1       2       //Holyangel Fighter Helm
3741      1       2       //Holyangel Lancer Helm
3742      1       0       //Bloodangel Elf Helm (B)
3743      1       1       //Darkangel Elf Helm (B)
3744      1       2       //Holyangel Elf Helm (B)
3748      1       4       //Blue Eye Knight Helm
3749      1       4       //Blue Eye Wizard Helm
3750      1       4       //Blue Eye Elf Helm (A)
3751      1       4       //Blue Eye Summoner Helm
3753      1       4       //Blue Eye Lord Helm
3754      1       4       //Blue Eye Fighter Helm
3755      1       4       //Blue Eye Lancer Helmet
3756      1       4       //Blue Eye Elf Helm (B)
3764      1       0       //Bloodangel Slayer Helm
3765      1       1       //Darkangel Slayer Helm
3766      1       2       //Holyangel Slayer Helm
3767      1       3       //Soul Slayer Helm
3768      1       4       //Blue Eye Sayer Helm
3773      1       5       //Silverheart Knight Helm
3774      1       5       //Silver Heart Wizard Helm
3775      1       5       //Silverheart Elf Helm (A)
3776      1       5       //Silverheart Summoner Helm
3778      1       5       //Silverheart Lord Helm
3779      1       5       //Silverheart Fighter Helm
3780      1       5       //Silverheart Lancer Helm
3781      1       5       //Silverheart Elf Helm (B)
3783      1       5       //Silverheart Runist Helm
4194      1       0       //Bloodangel Knight Armor
4195      1       0       //Bloodangel Wizard Armor
4196      1       0       //Bloodangel Elf Armor (A)
4197      1       0       //Bloodangel Summoner Armor
4198      1       0       //Bloodangel Magic Armor (A)
4199      1       0       //Bloodangel Lord Armor
4200      1       0       //Bloodangel Fighter Armor
4201      1       0       //Bloodangel Lancer Armor
4202      1       3       //Awakening Soul Knight Armor
4203      1       3       //Awakening Soul Wizard Armor
4204      1       3       //Awakening Soul Elf Armor (A)
4205      1       3       //Awakening Soul Summoner Armor
4206      1       3       //Awakening Soul Magic Armor (A)
4207      1       3       //Awakening Soul Lord Armor
4208      1       3       //Awakening Soul Fighter Armor
4209      1       3       //Awakening Soul Lancer Armor
4210      1       3       //Awakening Soul Elf Armor (B)
4211      1       3       //Awakening Soul Magic Armor (B)
4218      1       0       //Bloodangel Runist Armor
4219      1       1       //Darkangel Runist Armor
4223      1       2       //Holyangel Runist Armor
4224      1       3       //Awakening Soul Runist Armor
4225      1       4       //Blue Eye Runist Armor
4234      1       1       //Darkangel Knight Armor
4235      1       1       //Darkangel Wizard Armor
4236      1       1       //Darkangel Elf Armor (A)
4237      1       1       //Darkangel Summoner Armor
4238      1       1       //Darkangel Magic Armor (A)
4239      1       1       //Darkangel Lord Armor
4240      1       1       //Darkangel Fighter Armor
4241      1       1       //Darkangel Lancer Armor
4246      1       2       //Holyangel Knight Armor
4247      1       2       //Holyangel Wizard Armor
4248      1       2       //Holyangel Elf Armor (A)
4249      1       2       //Holyangel Summoner Armor
4250      1       2       //Holyangel Magic Armor (A)
4251      1       2       //Holyangel Lord Armor
4252      1       2       //Holyangel Fighter Armor
4253      1       2       //Holyangel Lancer Armor
4254      1       0       //Bloodangel Elf Armor (B)
4255      1       1       //Darkangel Elf Armor (B)
4256      1       2       //Holyangel Elf Armor (B)
4257      1       0       //Bloodangel Magic Armor (B)
4258      1       1       //Darkangel Magic Armor (B)
4259      1       2       //Holyangel Magic Armor (B)
4260      1       4       //Blue Eye Knight Armor
4261      1       4       //Blue Eye Wizard Armor
4262      1       4       //Blue Eye Elf Armor (A)
4263      1       4       //Blue Eye Summoner Armor
4264      1       4       //Blue Eye Magic Armor (A)
4265      1       4       //Blue Eye Lord Armor
4266      1       4       //Blue Eye Fighter Armor
4267      1       4       //Blue Eye Lancer Armor
4268      1       4       //Blue Eye Elf Armor  (B)
4269      1       4       //Blue Eye Magic Armor (B)
4276      1       0       //Bloodangel Slayer Armor
4277      1       1       //Darkangel Slayer Armor
4278      1       2       //Holyangel Slayer Armor
4279      1       3       //Soul Slayer Armor
4280      1       4       //Blue Eye Slayer Armor
4285      1       5       //Silverheart Knight Armor
4286      1       5       //Silverheart Wizard Armor
4287      1       5       //Silverheart Elf Armor (A)
4288      1       5       //Silverheart Summoner Armor
4289      1       5       //Silverheart Magic Armor (A)
4290      1       5       //Silverheart Lord Armor
4291      1       5       //Silverheart Fighter Armor
4292      1       5       //Silverheart Lancer Armor
4293      1       5       //Silverheart Elf Armor (B)
4294      1       5       //Silverheart Magic Armor (B)
4295      1       5       //Silverheart Runist Armor
4706      1       0       //Bloodangel Knight Pants
4707      1       0       //Bloodangel Wizard Pants
4708      1       0       //Bloodangel Elf Pants (A)
4709      1       0       //Bloodangel Summoner Pants
4710      1       0       //Bloodangel Magic Pants (A)
4711      1       0       //Bloodangel Lord Pants
4712      1       0       //Bloodangel Fighter Pants
4713      1       0       //Bloodangel Lancer Pants
4714      1       3       //Awakening Soul Knight Pants
4715      1       3       //Awakening Soul Wizard Pants
4716      1       3       //Awakening Soul Elf Pants (A)
4717      1       3       //Awakening Soul Summoner Pants
4718      1       3       //Awakening Soul Magic Pants (A)
4719      1       3       //Awakening Soul Lord Pants
4720      1       3       //Awakening Soul Fighter Pants
4721      1       3       //Awakening Soul Lancer Pants
4722      1       3       //Awakening Soul Elf Pants (B)
4723      1       3       //Awakening Soul Magic Pants (B)
4730      1       0       //Bloodangel Runist Pants
4731      1       1       //Darkangel Runist Pants
4735      1       2       //Holyangel Runist Pants
4736      1       3       //Awakening Soul Runist Pants
4737      1       4       //Blue Eye Runist Pants
4746      1       1       //Darkangel Knight Pants
4747      1       1       //Darkangel Wizard Pants
4748      1       1       //Darkangel Elf Pants (A)
4749      1       1       //Darkangel Summoner Pants
