0
//Index   Type   Rank   OptionGroup   AddOptIndex   AddOptValue   EvolutionIndex   Comment
8192      1      4      42            1             20            8193             //Pinocchio
8193      1      4      43            1             20            *                //Pinocchio (Evolved)
8194      1      2      38            1             5             8195             //Geppetto
8195      1      2      38            1             5             *                //Geppetto (Evolved)
8196      1      2      25            3             2             8197             //Blue Fairy
8197      1      2      25            3             2             *                //Blue Fairy (Evolved)
8198      1      4      40            1             20            8199             //Papa Bear
8199      1      4      41            1             20            *                //Papa Bear (Evolved)
8200      1      2      57            1             5             8201             //Baby Bear
8201      1      2      57            1             5             *                //Baby Bear (Evolved)
8202      1      2      28            3             2             8203             //Mama Bear
8203      1      2      28            3             2             *                //Mama Bear (Evolved)
8204      1      4      42            1             20            8205             //Woody
8205      1      4      43            1             20            *                //Woody (Evolved)
8206      1      2      38            1             5             8207             //Treasure Chest
8207      1      2      38            1             5             *                //Treasure Chest (Evolved)
8208      1      2      28            3             2             8209             //Treasure Hunter
8209      1      2      28            3             2             *                //Treasure Hunter (Evolved)
8210      1      4      40            1             20            8211             //Tree Elf
8211      1      4      41            1             20            *                //Tree Elf (Evolved)
8212      1      2      23            1             5             8213             //Grass Fairy
8213      1      2      23            1             5             *                //Grass Fairy (Evolved)
8214      1      2      54            3             2             8215             //Leaf Mage
8215      1      2      54            3             2             *                //Leaf Mage (Evolved)
8216      1      4      50            1             20            8217             //Samba Girl
8217      1      4      51            1             20            *                //Samba Girl (Evolved)
8218      1      2      48            1             5             8219             //Rio
8219      1      2      48            1             5             *                //Rio (Evolved)
8220      1      2      54            3             2             8221             //Bateria
8221      1      2      54            3             2             *                //Bateria (Evolved)
8222      1      3      61            1             10            *                //Reporter
8223      1      4      41            1             20            *                //Dragon Articles
8224      1      4      40            1             20            8225             //Tiger
8225      1      4      41            1             20            *                //Tiger (Evolved)
8226      1      4      42            1             20            8227             //Libra
8227      1      4      43            1             20            *                //Libra (Evolved)
8228      1      4      50            1             20            8229             //Scorpio
8229      1      4      51            1             20            *                //Scorpio (Evolved)
8230      1      4      42            1             20            8231             //Rabbit
8231      1      4      43            1             20            *                //Rabbit (Evolved)
8232      1      3      68            1             10            *                //Kaolin
8233      1      4      40            1             20            8234             //Chicken
8234      1      4      41            1             20            *                //Chicken (Evolved)
8235      1      2      38            1             5             8236             //Rooster
8236      1      2      38            1             5             *                //Rooster (Evolved)
8237      1      2      25            3             3             8238             //Angry Rooster
8238      1      2      25            3             3             *                //Angry Rooster (Evolved)
8239      1      4      50            1             20            8240             //Lion
8240      1      4      51            1             20            *                //Lion (Evolved)
8241      1      4      40            1             20            8242             //Knight Instructor
8242      1      4      41            1             20            *                //Knight Instructor (Evolved)
8243      1      4      42            1             20            8244             //Blackbeard
8244      1      4      43            1             20            *                //Blackbeard (Evolved)
8245      1      4      40            1             20            8246             //Toy Robot
8246      1      4      41            1             20            *                //Toy Robot (Evolved)
8247      1      4      50            1             20            8248             //Adventure cat
8248      1      4      51            1             20            *                //Adventure cat (Evolved)
8249      1      4      40            1             20            8250             //Dike
8250      1      4      41            1             20            *                //Dike (Evolved)
8251      1      4      50            1             20            8252             //Rainy Girl
8252      1      4      51            1             20            *                //Rainy Girl (Evolved)
8253      1      4      42            1             20            8254             //Scarecrow
8254      1      4      43            1             20            *                //Scarecrow (Evolved)
8255      1      4      40            1             20            8256             //Zombie Articles
8256      1      4      41            1             20            *                //Zombie Articles (Evolved)
8257      1      4      50            1             20            8258             //Mr. Fishing King
8258      1      4      51            1             20            *                //Mr. Fishing King (Evolved)
8259      1      4      42            1             20            8260             //Snow Fairy
8260      1      4      43            1             20            *                //Snow Fairy (Evolved)
8261      5      4      69            1             20            *                //Prince
8262      5      4      72            1             20            *                //Rex Millon
8263      1      4      50            1             20            8264             //Dodo Poodle
8264      1      4      51            1             20            *                //Dodo Poodle (Evolved)
8265      1      2      23            1             5             8266             //Shinan Beagle
8266      1      2      23            1             5             *                //Shinan Beagle (Evolved)
8267      1      2      39            3             2             8268             //Angry Bulldog
8268      1      2      39            3             2             *                //Angry Bulldog (Evolved)
8269      1      4      40            1             20            8270             //Skier
8270      1      4      41            1             20            *                //Scythe (Evolved)
8271      1      2      70            1             5             8272             //Figure Queen
8272      1      2      70            1             5             *                //Figure Queen (Evolved)
8273      1      2      25            3             2             8274             //Hockey Bear
8274      1      2      25            3             2             *                //Hockey Bear (Evolved)
8275      1      4      42            1             20            8276             //Pilot
8276      1      4      43            1             20            *                //Pilot (Evolved)
8277      1      4      50            1             20            8278             //Super Panda
8278      1      4      51            1             20            *                //Super Panda (Evolved)
8279      1      4      42            1             20            8280             //Belly Dancer
8280      1      4      43            1             20            *                //Belly Dancer (Evolved)
8281      1      4      40            1             20            8282             //Strong Captain
8282      1      4      41            1             20            *                //Strong Captain (Evolved)
8283      1      2      71            1             5             8284             //Strong Keeper
8284      1      2      71            1             5             *                //Strong Keeper (Evolved)
8285      1      2      25            3             2             8286             //Supreme Referee
8286      1      2      25            3             2             *                //Supreme Referee (Evolved)
8287      1      4      50            1             20            8288             //Hip-Hop Dino
8288      1      4      51            1             20            *                //Hip-Hop Dino (Evolved)
8289      1      4      42            1             20            8290             //Beach Girl
8290      1      4      43            1             20            *                //Beach Girl (Evolved)
8291      1      4      50            1             20            8292             //Bead Master
8292      1      4      51            1             20            *                //Bead Master (Evolved)
8293      1      4      40            1             20            8294             //Hangul King
8294      1      4      41            1             20            *                //Hangul (Evolved)
8295      1      4      50            1             20            8296             //Apple Sword
8296      1      4      51            1             20            *                //Apple Sword (Evolved)
8297      1      4      42            1             20            8298             //Flying Bread
8298      1      4      43            1             20            *                //Flying Bread (Evolved)
8299      5      4      69            1             20            *                //The Great Fairy Kara
8300      5      4      72            1             20            *                //Great Wizard Eithamu
8301      1      4      43            1             20            *                //Bell
8302      1      4      50            1             20            8303             //Lapa
8303      1      4      51            1             20            *                //Lapa (Evolved)
8304      1      4      40            1             20            8305             //Knicks
8305      1      4      41            1             20            *                //Knicks (Evolved)
8306      1      4      50            1             20            8307             //Serufan
8307      1      4      51            1             20            *                //Serufan (Evolved)
8308      1      4      42            1             20            8309             //Medusa
8309      1      4      43            1             20            *                //Medusa (Evolved)
8310      1      4      50            1             20            8311             //Balrog
8311      1      4      51            1             20            *                //Balrog (Evolved)
8312      1      4      40            1             20            8313             //Hellmine
8313      1      4      41            1             20            *                //Hellmine (Evolved)
8314      1      4      50            1             20            8315             //Kundun
8315      1      4      51            1             20            *                //Kundun (Evolved)
8316      1      4      42            1             20            8317             //Hydra
8317      1      4      43            1             20            *                //Hydra (Evolved)
8318      1      4      50            1             20            8319             //Death Beam Knight
8319      1      4      51            1             20            *                //Death Beam Knight (Evolved)
8320      1      4      40            1             20            8321             //Nightmare
8321      1      4      41            1             20            *                //Nightmare (Evolved)
8322      1      4      42            1             20            8323             //Phoenix of Darkness
8323      1      4      43            1             20            *                //Phoenix of Darkness (Evolved)
8324      1      4      50            1             20            8325             //Kairuku
8325      1      4      51            1             20            *                //Kairuku (Evolved)
8326      1      4      51            1             20            *                //Legendary Warlock
8327      1      4      41            1             20            *                //The Fairy of the Guardian
8328      1      3      73            3             2             8329             //Desmodus
8329      1      3      73            3             2             *                //Desmodus (Evolved)
8330      5      4      69            1             20            *                //Fairy Queen Runedil
8331      5      4      72            1             20            *                //Marshal Gaion Carin
8332      1      4      50            1             20            8333             //Fighter
8333      1      4      51            1             20            *                //Fighter (Evolved)
8334      1      4      50            1             20            8335             //Flower Leader Leah
8335      1      4      51            1             20            *                //Flower Leader Leah (Evolved)
8336      1      4      50            1             20            8337             //Shadow Phantom
8337      1      4      51            1             20            *                //Shadow Phantom (Evolved)
8338      1      4      50            1             20            8339             //Warehouse Guardian
8339      1      4      51            1             20            *                //Warehouse Guardian (Evolved)
8340      1      4      50            1             20            8341             //Fairy Lara
8341      1      4      51            1             20            *                //Fairy Lara (Evolved)
8342      5      4      69            1             20            *                //Tablet's Elpis
8404      1      3      0             1             10            8405             //Luki
8405      1      3      0             1             10            *                //Luki (Evolved)
8406      1      3      9             1             15            8407             //Tony
8407      1      3      9             1             15            *                //Tony (Evolved)
8408      1      2      1             1             5             8409             //Nymph
8409      1      2      1             1             5             *                //Nymph (Evolved)
8410      1      1      2             1             5             8411             //Safi
8411      1      1      2             1             5             *                //Safi (Evolved)
8415      1      4      3             1             20            8416             //William
8416      1      4      3             1             20            *                //William (Evolved)
8417      1      2      4             1             5             8418             //Paul
8418      1      2      4             1             5             *                //Paul (Evolved)
8419      1      2      5             1             5             8420             //Chiron
8420      1      2      5             1             5             *                //Chiron (Evolved)
8421      1      4      14            1             20            8422             //Wooparoo
8422      1      4      14            1             20            *                //Wooparoo (Evolved)
8423      4      3      11            1             15            8424             //Tibetton
8424      4      3      11            1             15            *                //Tibetton (Evolved)
8425      1      4      6             1             20            8426             //Witch
8426      1      4      6             1             20            *                //Witch (Evolved)
8427      1      2      7             1             5             8428             //Skull
8428      1      2      7             1             5             *                //Skull (Evolved)
8429      1      2      8             1             5             8430             //Pumpkie
8430      1      2      8             1             5             *                //Pumpkie (Evolved)
8433      1      4      10            1             20            8434             //Savath
8434      1      4      10            1             20            *                //Savath (Evolved)
8435      1      2      13            3             2             8436             //Lycan
8436      1      2      13            3             2             *                //Lycan (Evolved)
8437      1      2      12            1             5             8438             //Torby
8438      1      2      12            1             5             *                //Torby (Evolved)
8444      1      2      15            1             5             8445             //Seiren
8445      1      2      15            1             5             *                //Seiren (Evolved)
8446      1      2      16            3             2             8447             //Behemoth
8447      1      2      16            3             2             *                //Behemoth (Evolved)
8448      1      4      24            1             20            8449             //Loggle
8449      1      4      24            1             20            *                //Loggle (Evolved)
8450      1      2      23            1             5             8451             //Mino
8451      1      2      23            1             5             *                //Mino (Evolved)
8452      1      2      25            3             2             8453             //Hound
8453      1      2      25            3             2             *                //Hound (Evolved)
