//Index   Message
0         "O Blood Castle irá fechar em %d minuto(s)"
1         "O Blood Castle fechou"
2         "O Blood Castle %d irá começar em %d minuto(s)"
3         "O Blood Castle começou"
4         "Todos os monstros foram derrotados"
5         "Todos os monstros chefes foram derrotados"
6         "O Blood Castle terminou"
7         "Você não é forte o suficiente para entrar no Blood Castle"
8         "O jogador %s deixou cair a arma do anjo"
9         "O jogador %s pegou a arma do anjo"
10        "O jogador %s destruiu o portão do castelo"
11        "O jogador %s destruiu a estátua"
16        "O Chaos Castle irá fechar em %d minuto(s)"
17        "O Chaos Castle fechou"
18        "O Chaos Castle %d irá começar em %d minuto(s)"
19        "O Chaos Castle começou"
20        "O Chaos Castle terminou"
21        "Você não pode entrar no Chaos Castle equipando montaria"
22        "Você não pode entrar no Chaos Castle deste mapa"
23        "Você não pode entrar no Chaos Castle enquanto em Party"
24        "Você não pode entrar no Chaos Castle enquanto em Guild War"
25        "Você não pode entrar no Chaos Castle enquanto em Duel"
26        "Você não pode entrar no Chaos Castle com uma janela aberta"
27        "Você não pode entrar no Chaos Castle com Personal Store aberto"
28        "Você não pode entrar no Chaos Castle equipando anel de transformação"
64        "Você não tem permissão para utilizar o /post"
65        "Você precisa ser no mínimo level %d para utilizar o /post"
66        "Você precisa ter no mínimo %d resets para utilizar o /post"
67        "Você precisa ter no mínimo %d zen para utilizar o /post"
68        "Você precisa esperar %d segundos para utilizar o /post"
69        "<FONT color='#FFFF00'>[Post]%s :%s</FONT><BR>"
70        "Você não tem permissão para utilizar o /add"
71        "Comando exclusivo de Dark Lord"
72        "Você não possue pontos suficientes para adicionar"
73        "Você precisa ter no mínimo %d zen para utilizar o /add"
74        "Você adicionou %d pontos, restando %d pontos para serem distribuidos"
75        "Você não tem permissão para utilizar o /pkclear"
76        "Você não é PK"
77        "Você precisa ter no mínimo %d zen para utilizar o /pkclear"
78        "Você limpou seu PK com sucesso"
79        "Você não tem permissão para utilizar o /money"
80        "Você digitou um valor inválido para adicionar"
81        "Você não tem permissão para utilizar o /change"
82        "Você precisa ter no mínimo %d zen para utilizar o /change"
83        "Você não pode evoluir mais"
84        "Você evoluiu com sucesso"
85        "Você não tem permissão para utilizar o /ware"
86        "Você não pode utilizar o /ware no momento"
87        "Você digitou um baú inválido para mudar"
88        "Você mudou para o baú %d com sucesso"
89        "Você não tem permissão para utilizar o /reset"
90        "Você não pode utilizar o /reset no momento"
91        "Você precisa ser no mínimo level %d para utilizar o /reset"
92        "Você precisa ter no mínimo %d zen para utilizar o /reset"
93        "Você não pode ter mais que %d resets"
94        "Você não pode resetar com items equipados"
95        "Você resetou com sucesso, e agora tem %d resets"
96        "Você não tem permissão para utilizar o /gmmove"
97        "Você digitou um alvo inválido para o /gmmove"
98        "Você não tem permissão para utilizar o /gmpost"
99        "Você não tem permissão para utilizar o /track"
100       "Você digitou um alvo inválido para o /track"
101       "Você não tem permissão para utilizar o /trace"
102       "Você digitou um alvo inválido para o /trace"
103       "Você não tem permissão para utilizar o /disconnect"
104       "Você digitou um alvo inválido para o /disconnect"
105       "Você não tem permissão para utilizar o /fireworks"
106       "Você não tem permissão para utilizar o /make"
107       "Você criou o item com sucesso"
108       "Você não tem permissão para utilizar o /skin"
109       "Você digitou um alvo inválido para o /skin"
110       "Você não tem permissão para utilizar o /setmoney"
111       "Você digitou um alvo inválido para o /setmoney"
112       "Você digitou um valor inválido para o /setmoney"
113       "Você não tem permissão para utilizar o /notice"
114       "Adição automática de pontos: Ativada (%d)"
115       "Adição automática de pontos: Desativada"
116       "Reset automático: Ativado"
117       "Reset automático: Desativado"
118       "Você não tem permissão para utilizar o /mreset"
119       "Você não pode utilizar o /mreset no momento"
120       "Você precisa ter no mínimo %d levels para utilizar o /mreset"
121       "Você precisa ter no mínimo %d resets para utilizar o /mreset"
122       "Você precisa ter no mínimo %d zen para utilizar o /mreset"
123       "Você não pode ter mais que %d master resets"
124       "Você não pode master resetar com items equipados"
125       "Você master resetou com sucesso, e agora tem %d master resets"
126       "Recebimento de solicitações: Ligado"
127       "Recebimento de solicitações: Desligado"
128       "Recebimento de solicitações: Automático"
129       "Você só pode resetar %d vezes por dia"
130       "Você só pode resetar %d vezes por semana"
131       "Você só pode resetar %d vezes por mês"
132       "Você só pode master resetar %d vezes por dia"
133       "Você só pode master resetar %d vezes por semana"
134       "Você só pode master resetar %d vezes por mês"
135       "Você não tem permissão para utilizar o /hide"
136       "Você não tem permissão para utilizar o /mute"
137       "Você digitou um alvo inválido para o /mute"
138 	  "Você não tem permissão para utilizar o /follow"
139       "Você digitou um alvo inválido para o /follow"
140       "Você não pode mover para o local do alvo"
144       "A Devil Square irá fechar em %d minuto(s)"
145       "A Devil Square fechou"
146       "A Devil Square %d irá começar em %d minuto(s)"
147       "A Devil Square começou"
148       "A Devil Square terminou"
149       "Você não é forte o suficiente para entrar na Devil Square"
160       "O jogador alvo não está online"
161       "Você não pode duelar no momento"
162       "O jogador alvo recusou seu pedido de duelo automáticamente"
163       "Você já pediu ou foi pedido para duelar"
164       "O jogador alvo já pediu ou foi pedido para duelar"
165       "Você não pode duelar estando em Guild War"
166       "O jogador alvo não pode duelar em Guild War"
167       "Você não pode duelar neste mapa"
168       "Você não pode duelar durante o Castle Siege"
169       "O nome do jogador alvo é inválido"
170       "Você não pode duelar com Self Defense"
171       "O jogador alvo não pode duelar com Self Defense"
172       "O jogador alvo recusou seu pedido de duelo"
173       "Todas as arenas estão cheias no momento"
174       "O Duelo entre %s e %s começou!"
175       "O jogador %s venceu %s no duelo!"
176       "O Illusion Temple irá fechar em %d minuto(s)"
177       "O Illusion Temple fechou"
178       "O Illusion Temple %d irá começar em %d minuto(s)"
179       "O Illusion Temple começou"
180       "O Illusion Temple terminou"
181       "Você não é forte o suficiente para entrar no Illusion Temple"
182       "Você não tem o item necessário para entrar no Illusion Temple"
183       "O jogador %s deixou cair o artefato"
184       "O jogador %s pegou o artefato"
192       "A invasão do Skeleton King começou!"
193       "A invasão do Red Dragon começou!"
194       "A invasão de Dourados começou!"
195       "A invasão do White Wizard começou!"
196       "A invasão de Ano Novo começou!"
197       "A invasão de Coelhos começou!"
198       "A invasão de Verão começou!"
199       "A invasão de Natal começou!"
200       "A invasão da Medusa começou!"
202       "O jogador %s derrotou o Skeleton King!"
203       "O jogador %s derrotou o Red Dragon!"
204       "O jogador %s derrotou o Golden Great Dragon!"
205       "O jogador %s derrotou o White Wizard!"
206       "O jogador %s derrotou o Cursed Santa!"
207       "O jogador %s derrotou a Medusa!"
208       "O Moss Merchant apareceu!"
209       "O Moss Merchant foi embora!"
210       "A invasão de Invocação de Demônios começou!"
211       "A invasão do Evento dos Ovos começou!"
224       "Você precisa ser no mínimo level %d para mover"
225       "Você precisa ter no mínimo %d zen para mover"
226       "Você não pode mover no momento"
227       "Assassinos não podem mover"
228       "Você não possue o equipamento correto para mover"
229       "Somente membros de uma das famílias do gens podem mover"
230       "Você precisa ser no máximo level %d para mover"
231       "Você precisa ter no mínimo %d resets para mover"
232       "Você precisa ter no máximo %d resets para mover"
240       "O Senior não está ativo no momento"
241       "O Senior não funciona durante o Castle Siege"
242       "Você precisa estar na guild dona do castelo para utilizar o Senior"
243       "Você precisa ser o dono da guild para utilizar o Senior"
244       "O Guardsman não funciona durante o Castle Siege"
245       "Você já está em uma guild"
246       "Você não tem level suficiente para criar uma guild"
247       "O shop está vazio"
248       "Nível da conta: Free"
249       "Nível da conta: Vip1 (%s)"
250       "Nível da conta: Vip2 (%s)"
251       "Nível da conta: Vip3 (%s)"
256       "Bem vindo %s ao server da X-Team"
257       "Você precisa ser no mínimo level 40 para usar o anel"
258       "Você precisa ser no mínimo level 80 para usar o anel"
259       "Você não pode se mover para este mapa no momento"
260       "Você não pode pegar este item no momento"
261       "Você não pode sair do jogo com o Trade aberto"
262       "Você não pode sair do jogo com o Baú aberto"
263       "Você não pode sair do jogo com a Chaos Machine aberta"
264       "Você não pode sair do jogo com o Trainer aberto"
265       "Você não pode sair do jogo estando em Self Defense"
266       "Você está no level máximo"
267       "Você está no master level máximo"
268       "Você só pode adicionar %d pontos"
269       "Você não pode falar durante %d minuto(s)"
270       "Você não pode mandar mensagem para si próprio"
271       "Olá, eu sou o guarda alegre"
272       "Não foi possivel realizar o teletransporte"
273       "Você será teletransportado em %d segundo(s)"
274       "Você não pode mover para este mapa com montaria"
275       "Você não pode mover para este mapa sem asa"
276       "Presente do CashShop"
277       "Somente membros de uma das famílias do gens podem criar uma guild"
278       "%s colocou o item %s +15"
279       "O shop não pode ser usado por PKs"
280       "O jogador %s ganhou %s do Moss Merchant"
304       "O Ice Walker apareceu!"
305       "Você não é forte o suficiente para entrar em Double Goer"
306       "O Ice Walker foi derrotado!"
307       "O Double Goer irá fechar em %d minuto(s)"
308       "O Double Goer fechou"
309       "O Double Goer %d irá começar em %d minuto(s)"
320       "O Selupan apareceu! O portão da incubadora irá fechar em %d minuto(s)"
321       "O portão da incubadora fechou"
322       "O jogador %s derrotou o Selupan!"
323       "O portão da incubadora irá abrir novamente em %d minuto(s)"
324       "O portão da incubadora abriu!"
325       "O portão da incubadora está fechado"
336       "A Torre de Refinamento irá fechar em 60 minuto(s)"
337       "A Torre de Refinamento irá fechar em 20 minuto(s)"
338       "A Porta de Kanturu irá abrir em 1 minuto(s)"
339       "A batalha contra Maya irá começar logo, prepare-se"
340       "A próxima batalha irá começar em 1 minuto(s)"
341       "O Nightmare apareceu! Derrote-o para liberar a Torre de Refinamento"
342       "O Nightmare foi derrotado! A Torre de Refinamento foi liberada"
343       "O tempo acabou, você será removido do evento"
352       "O Castle Deep irá começar em 5 minuto(s)"
353       "O Castle Deep começou"
354       "O Castle Deep terminou"
355       "O Erohim foi morto pelo jogador %s"
356       "O %s foi morto pelo jogador %s"
368       "Balgass juntou forças com a armada de Kundun e está se preparando para atacar a fortaleza de Crywolf"
