//Index   EliteFlag   CriDmgRes   ExcDmgRes   DebuffRes   DmgAbsorb
767       0           1           0           4           0
768       0           2           0           4           0
769       0           2           0           4           0
770       0           1           0           4           0
771       0           1           0           4           0
772       0           1           0           4           0
773       0           1           0           4           0
774       0           2           0           4           0
775       0           2           0           4           0
776       0           3           0           4           0
777       0           3           0           4           0
778       0           3           0           8           0
786       0           3           0           0           0
787       0           3           0           0           0
788       0           4           1           0           0
789       0           4           1           0           0
810       0           5           1           0           0
811       0           5           1           0           0
812       0           5           1           0           0
813       0           5           2           0           0
814       0           6           2           0           0
815       0           6           2           0           0
816       0           6           2           0           0
832       0           8           3           2           0
833       0           8           3           2           0
834       0           9           3           2           0
835       0           9           4           2           0
836       0           9           4           2           0
837       0           9           4           2           0
839       1           25          20          15          0
840       1           30          20          15          0
845       0           3           3           10          1
846       0           3           3           10          1
847       0           3           3           10          1
848       1           25          20          17          5
849       1           30          20          17          5
850       1           30          20          17          5
854       0           3           3           10          1
859       0           3           3           10          1
860       0           3           3           10          1
861       0           3           3           10          1
862       0           3           3           10          1
863       0           3           3           10          1
864       1           30          20          17          5
865       1           30          20          17          5
867       0           15          10          10          3
868       0           15          10          10          3
869       0           15          10          10          3
870       1           25          20          17          5
871       1           30          20          17          5
872       1           30          20          17          5
end
