0
//Stage      Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
0            084          11             30         014            034            *              //Chief Skeleton Warrior
0            084          11             30         014            038            *              //Chief Skeleton Warrior
0            084          11             30         015            045            *              //Chief Skeleton Warrior
0            084          11             30         015            031            *              //Chief Skeleton Warrior
0            085          11             30         013            023            *              //Chief Skeleton Archer
0            085          11             30         015            043            *              //Chief Skeleton Archer
0            085          11             30         015            030            *              //Chief Skeleton Archer
0            085          11             30         015            033            *              //Chief Skeleton Archer
0            085          11             30         014            021            *              //Chief Skeleton Archer
0            085          11             30         013            043            *              //Chief Skeleton Archer
0            085          11             30         015            026            *              //Chief Skeleton Archer
0            086          11             30         015            046            *              //Dark Skull Soldier
0            086          11             30         015            063            *              //Dark Skull Soldier
0            086          11             30         015            053            *              //Dark Skull Soldier
0            086          11             30         013            065            *              //Dark Skull Soldier
0            086          11             30         014            064            *              //Dark Skull Soldier
0            086          11             30         014            067            *              //Dark Skull Soldier
0            086          11             30         013            053            *              //Dark Skull Soldier
0            086          11             30         015            065            *              //Dark Skull Soldier
0            086          11             30         015            060            *              //Dark Skull Soldier
0            086          11             30         013            057            *              //Dark Skull Soldier
0            087          11             30         013            069            *              //Giant Ogre
0            087          11             30         014            061            *              //Giant Ogre
0            087          11             30         013            055            *              //Giant Ogre
0            087          11             30         014            070            *              //Giant Ogre
0            087          11             30         013            048            *              //Giant Ogre
0            087          11             30         013            063            *              //Giant Ogre
0            088          11             30         013            078            *              //Red Skeleton Knight
0            088          11             30         014            083            *              //Red Skeleton Knight
0            088          11             30         014            078            *              //Red Skeleton Knight
0            088          11             30         015            078            *              //Red Skeleton Knight
0            088          11             30         016            080            *              //Red Skeleton Knight
0            088          11             30         015            062            *              //Red Skeleton Knight
0            088          11             30         015            068            *              //Red Skeleton Knight
0            088          11             30         014            047            *              //Red Skeleton Knight
1            089          11             30         016            087            *              //Magic Skeleton
1            089          11             30         014            080            *              //Magic Skeleton
1            089          11             30         018            081            *              //Magic Skeleton
end

1
//Stage      Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
0            090          12             30         014            034            *              //Chief Skeleton Warrior
0            090          12             30         014            038            *              //Chief Skeleton Warrior
0            090          12             30         013            035            *              //Chief Skeleton Warrior
0            090          12             30         014            027            *              //Chief Skeleton Warrior
0            090          12             30         014            024            *              //Chief Skeleton Warrior
0            090          12             30         014            032            *              //Chief Skeleton Warrior
0            090          12             30         015            045            *              //Chief Skeleton Warrior
0            090          12             30         015            031            *              //Chief Skeleton Warrior
0            091          12             30         013            045            *              //Chief Skeleton Archer
0            091          12             30         015            021            *              //Chief Skeleton Archer
0            091          12             30         013            031            *              //Chief Skeleton Archer
0            091          12             30         015            030            *              //Chief Skeleton Archer
0            091          12             30         015            033            *              //Chief Skeleton Archer
0            091          12             30         014            021            *              //Chief Skeleton Archer
0            091          12             30         013            043            *              //Chief Skeleton Archer
0            091          12             30         015            026            *              //Chief Skeleton Archer
0            092          12             30         015            046            *              //Dark Skull Soldier
0            092          12             30         015            063            *              //Dark Skull Soldier
0            092          12             30         015            053            *              //Dark Skull Soldier
0            092          12             30         013            065            *              //Dark Skull Soldier
0            092          12             30         013            067            *              //Dark Skull Soldier
0            092          12             30         014            067            *              //Dark Skull Soldier
0            092          12             30         013            053            *              //Dark Skull Soldier
0            092          12             30         015            065            *              //Dark Skull Soldier
0            092          12             30         015            060            *              //Dark Skull Soldier
0            092          12             30         013            057            *              //Dark Skull Soldier
0            093          12             30         013            069            *              //Giant Ogre
0            093          12             30         014            061            *              //Giant Ogre
0            093          12             30         013            055            *              //Giant Ogre
0            093          12             30         013            063            *              //Giant Ogre
0            094          12             30         013            078            *              //Red Skeleton Knight
0            094          12             30         014            083            *              //Red Skeleton Knight
0            094          12             30         020            088            *              //Red Skeleton Knight
0            094          12             30         015            068            *              //Red Skeleton Knight
0            094          12             30         014            047            *              //Red Skeleton Knight
1            095          12             30         014            080            *              //Magic Skeleton
1            095          12             30         018            081            *              //Magic Skeleton
end

2
//Stage      Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
0            096          13             30         014            034            *              //Chief Skeleton Warrior
0            096          13             30         014            038            *              //Chief Skeleton Warrior
0            096          13             30         013            035            *              //Chief Skeleton Warrior
0            096          13             30         013            028            *              //Chief Skeleton Warrior
0            096          13             30         013            039            *              //Chief Skeleton Warrior
0            096          13             30         014            027            *              //Chief Skeleton Warrior
0            096          13             30         014            024            *              //Chief Skeleton Warrior
0            096          13             30         015            031            *              //Chief Skeleton Warrior
0            097          13             30         013            045            *              //Chief Skeleton Archer
0            097          13             30         013            023            *              //Chief Skeleton Archer
0            097          13             30         015            043            *              //Chief Skeleton Archer
0            097          13             30         015            039            *              //Chief Skeleton Archer
0            097          13             30         014            021            *              //Chief Skeleton Archer
0            097          13             30         013            043            *              //Chief Skeleton Archer
