0
//Stage      Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
0            036          09             30         135            092            *              //Shadow
0            036          09             30         124            082            *              //Shadow
0            036          09             30         135            102            *              //Shadow
0            036          09             30         131            087            *              //Shadow
0            036          09             30         126            083            *              //Shadow
0            036          09             30         146            087            *              //Shadow
0            036          09             30         128            096            *              //Shadow
0            036          09             30         139            098            *              //Shadow
0            036          09             30         134            109            *              //Shadow
0            036          09             30         146            102            *              //Shadow
0            036          09             30         127            089            *              //Shadow
0            036          09             30         144            098            *              //Shadow
0            036          09             30         148            097            *              //Shadow
0            036          09             30         134            095            *              //Shadow
0            036          09             30         128            103            *              //Shadow
0            036          09             30         148            101            *              //Shadow
0            036          09             30         130            109            *              //Shadow
0            036          09             30         122            086            *              //Shadow
0            036          09             30         129            090            *              //Shadow
0            036          09             30         121            100            *              //Shadow
0            039          09             30         145            096            *              //Poison Shadow
0            039          09             30         129            105            *              //Poison Shadow
0            039          09             30         147            094            *              //Poison Shadow
0            039          09             30         133            087            *              //Poison Shadow
0            039          09             30         141            104            *              //Poison Shadow
0            039          09             30         144            102            *              //Poison Shadow
0            039          09             30         143            109            *              //Poison Shadow
0            039          09             30         127            085            *              //Poison Shadow
0            039          09             30         141            097            *              //Poison Shadow
0            039          09             30         135            094            *              //Poison Shadow
0            039          09             30         142            103            *              //Poison Shadow
0            039          09             30         128            097            *              //Poison Shadow
0            039          09             30         128            084            *              //Poison Shadow
0            039          09             30         134            095            *              //Poison Shadow
0            039          09             30         121            084            *              //Poison Shadow
0            039          09             30         139            100            *              //Poison Shadow
0            039          09             30         141            108            *              //Poison Shadow
0            039          09             30         145            091            *              //Poison Shadow
0            039          09             30         145            085            *              //Poison Shadow
0            039          09             30         145            100            *              //Poison Shadow
1            034          09             30         148            108            *              //Cursed Wizard
1            034          09             30         148            090            *              //Cursed Wizard
1            034          09             30         132            103            *              //Cursed Wizard
1            034          09             30         129            102            *              //Cursed Wizard
1            034          09             30         143            086            *              //Cursed Wizard
1            034          09             30         140            104            *              //Cursed Wizard
1            034          09             30         146            106            *              //Cursed Wizard
1            034          09             30         134            105            *              //Cursed Wizard
1            034          09             30         134            106            *              //Cursed Wizard
1            034          09             30         124            109            *              //Cursed Wizard
1            034          09             30         141            083            *              //Cursed Wizard
1            034          09             30         136            085            *              //Cursed Wizard
1            034          09             30         131            098            *              //Cursed Wizard
1            034          09             30         121            083            *              //Cursed Wizard
1            034          09             30         138            107            *              //Cursed Wizard
1            041          09             30         142            109            *              //Death Cow
1            041          09             30         143            088            *              //Death Cow
1            041          09             30         146            096            *              //Death Cow
1            041          09             30         146            101            *              //Death Cow
1            041          09             30         139            082            *              //Death Cow
1            041          09             30         139            099            *              //Death Cow
1            041          09             30         137            105            *              //Death Cow
1            041          09             30         134            108            *              //Death Cow
1            041          09             30         128            109            *              //Death Cow
1            041          09             30         139            090            *              //Death Cow
1            041          09             30         148            096            *              //Death Cow
1            041          09             30         127            092            *              //Death Cow
1            041          09             30         144            097            *              //Death Cow
1            041          09             30         127            095            *              //Death Cow
1            041          09             30         121            107            *              //Death Cow
2            035          09             30         130            096            *              //Death Gorgon
2            035          09             30         137            090            *              //Death Gorgon
2            035          09             30         137            093            *              //Death Gorgon
2            035          09             30         131            094            *              //Death Gorgon
2            035          09             30         133            102            *              //Death Gorgon
2            035          09             30         124            091            *              //Death Gorgon
2            035          09             30         141            082            *              //Death Gorgon
2            035          09             30         142            105            *              //Death Gorgon
2            035          09             30         132            086            *              //Death Gorgon
2            035          09             30         136            090            *              //Death Gorgon
2            040          09             30         121            082            *              //Death Knight
2            040          09             30         123            100            *              //Death Knight
2            040          09             30         141            094            *              //Death Knight
2            040          09             30         124            090            *              //Death Knight
2            040          09             30         137            090            *              //Death Knight
2            040          09             30         130            098            *              //Death Knight
2            040          09             30         144            089            *              //Death Knight
2            040          09             30         124            092            *              //Death Knight
2            040          09             30         140            102            *              //Death Knight
2            040          09             30         130            086            *              //Death Knight
3            038          09             30         132            096            *              //Balrog
3            038          09             30         124            107            *              //Balrog
3            038          09             30         132            084            *              //Balrog
3            038          09             30         132            105            *              //Balrog
3            038          09             30         133            100            *              //Balrog
3            038          09             30         122            086            *              //Balrog
3            038          09             30         126            094            *              //Balrog
3            038          09             30         148            101            *              //Balrog
3            038          09             30         140            090            *              //Balrog
3            038          09             30         139            106            *              //Balrog
end

1
//Stage      Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
0            064          09             30         137            164            *              //Ogre archer
0            064          09             30         126            154            *              //Ogre archer
0            064          09             30         137            174            *              //Ogre archer
0            064          09             30         133            159            *              //Ogre archer
0            064          09             30         128            155            *              //Ogre archer
0            064          09             30         148            159            *              //Ogre archer
0            064          09             30         130            168            *              //Ogre archer
0            064          09             30         141            170            *              //Ogre archer
0            064          09             30         136            181            *              //Ogre archer
0            064          09             30         148            174            *              //Ogre archer
0            064          09             30         129            161            *              //Ogre archer
0            064          09             30         146            170            *              //Ogre archer
0            064          09             30         150            169            *              //Ogre archer
0            064          09             30         136            167            *              //Ogre archer
0            064          09             30         130            175            *              //Ogre archer
0            064          09             30         150            173            *              //Ogre archer
0            064          09             30         132            181            *              //Ogre archer
0            064          09             30         124            158            *              //Ogre archer
0            064          09             30         131            162            *              //Ogre archer
0            064          09             30         123            172            *              //Ogre archer
0            065          09             30         147            168            *              //Elite Ogre
0            065          09             30         131            177            *              //Elite Ogre
0            065          09             30         149            166            *              //Elite Ogre
0            065          09             30         135            159            *              //Elite Ogre
0            065          09             30         143            176            *              //Elite Ogre
0            065          09             30         146            174            *              //Elite Ogre
0            065          09             30         145            181            *              //Elite Ogre
0            065          09             30         129            157            *              //Elite Ogre
0            065          09             30         143            169            *              //Elite Ogre
0            065          09             30         137            166            *              //Elite Ogre
0            065          09             30         144            175            *              //Elite Ogre
0            065          09             30         130            169            *              //Elite Ogre
0            065          09             30         130            156            *              //Elite Ogre
0            065          09             30         136            167            *              //Elite Ogre
0            065          09             30         123            156            *              //Elite Ogre
0            065          09             30         141            172            *              //Elite Ogre
0            065          09             30         143            180            *              //Elite Ogre
0            065          09             30         147            163            *              //Elite Ogre
0            065          09             30         147            157            *              //Elite Ogre
0            065          09             30         147            172            *              //Elite Ogre
1            290          09             30         150            180            *              //Lizard Warrior
1            290          09             30         150            162            *              //Lizard Warrior
