0
//Stage      Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
0            523          69             00         154            048            08             //Trap
0            523          69             00         154            044            08             //Trap
0            523          69             00         154            040            08             //Trap
0            523          69             00         154            036            08             //Trap
0            523          69             00         154            032            08             //Trap
0            523          69             00         154            028            08             //Trap
0            523          69             00         154            024            08             //Trap
0            523          69             00         157            026            08             //Trap
0            523          69             00         161            026            08             //Trap
0            523          69             00         233            060            08             //Trap
0            523          69             00         233            064            08             //Trap
0            523          69             00         233            068            08             //Trap
0            523          69             00         230            066            08             //Trap
0            523          69             00         226            066            08             //Trap
0            523          69             00         222            066            08             //Trap
0            523          69             00         218            066            08             //Trap
0            523          69             00         220            070            08             //Trap
0            523          69             00         220            074            08             //Trap
0            523          69             00         220            078            08             //Trap
0            523          69             00         220            082            08             //Trap
0            523          69             00         220            086            08             //Trap
0            523          69             00         154            048            08             //Trap
0            523          69             00         154            044            08             //Trap
0            523          69             00         154            040            08             //Trap
0            523          69             00         154            036            08             //Trap
0            523          69             00         154            032            08             //Trap
0            523          69             00         154            028            08             //Trap
0            523          69             00         154            024            08             //Trap
0            523          69             00         157            026            08             //Trap
0            523          69             00         161            026            08             //Trap
0            523          69             00         233            060            08             //Trap
0            523          69             00         233            064            08             //Trap
0            523          69             00         233            068            08             //Trap
0            523          69             00         230            066            08             //Trap
0            523          69             00         226            066            08             //Trap
0            523          69             00         222            066            08             //Trap
0            523          69             00         218            066            08             //Trap
0            523          69             00         220            070            08             //Trap
0            523          69             00         220            074            08             //Trap
0            523          69             00         220            078            08             //Trap
0            523          69             00         220            082            08             //Trap
0            523          69             00         220            086            08             //Trap
0            526          69             00         217            072            03             //Stone Statue
0            526          69             00         218            085            03             //Stone Statue
0            526          69             00         152            030            01             //Stone Statue
0            526          69             00         157            030            01             //Stone Statue
0            526          69             00         174            099            01             //Stone Statue
0            526          69             00         186            100            01             //Stone Statue
end

1
//Stage      Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
0            523          70             00         045            067            08             //Trap
0            523          70             00         042            062            08             //Trap
0            523          70             00         039            067            08             //Trap
0            523          70             00         035            062            08             //Trap
0            523          70             00         032            067            08             //Trap
0            523          70             00         029            062            08             //Trap
0            523          70             00         026            067            08             //Trap
0            523          70             00         024            062            08             //Trap
0            523          70             00         022            066            08             //Trap
0            523          70             00         041            122            08             //Trap
0            523          70             00         041            126            08             //Trap
0            523          70             00         041            130            08             //Trap
0            523          70             00         045            128            08             //Trap
0            523          70             00         050            128            08             //Trap
0            523          70             00         055            129            08             //Trap
0            523          70             00         055            134            08             //Trap
0            523          70             00         055            139            08             //Trap
0            523          70             00         055            144            08             //Trap
0            523          70             00         055            149            08             //Trap
0            523          70             00         045            067            08             //Trap
0            523          70             00         042            062            08             //Trap
0            523          70             00         039            067            08             //Trap
0            523          70             00         035            062            08             //Trap
0            523          70             00         032            067            08             //Trap
0            523          70             00         029            062            08             //Trap
0            523          70             00         026            067            08             //Trap
0            523          70             00         024            062            08             //Trap
0            523          70             00         022            066            08             //Trap
0            523          70             00         041            122            08             //Trap
0            523          70             00         041            126            08             //Trap
0            523          70             00         041            130            08             //Trap
0            523          70             00         045            128            08             //Trap
0            523          70             00         050            128            08             //Trap
0            523          70             00         055            129            08             //Trap
0            523          70             00         055            134            08             //Trap
0            523          70             00         055            139            08             //Trap
0            523          70             00         055            144            08             //Trap
0            523          70             00         055            149            08             //Trap
0            526          70             00         024            067            03             //Stone Statue
0            526          70             00         024            062            03             //Stone Statue
0            526          70             00         053            152            01             //Stone Statue
0            526          70             00         056            152            01             //Stone Statue
0            526          70             00         085            113            03             //Stone Statue
0            526          70             00         085            107            03             //Stone Statue
end

2
//Stage      Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
0            523          71             00         113            193            08             //Trap
0            523          71             00         112            198            08             //Trap
0            523          71             00         112            203            08             //Trap
0            523          71             00         107            203            08             //Trap
0            523          71             00         102            203            08             //Trap
0            523          71             00         097            203            08             //Trap
0            523          71             00         093            203            08             //Trap
0            523          71             00         093            198            08             //Trap
0            523          71             00         093            192            08             //Trap
0            523          71             00         093            187            08             //Trap
0            523          71             00         097            186            08             //Trap
0            523          71             00         102            186            08             //Trap
0            523          71             00         107            186            08             //Trap
0            523          71             00         112            187            08             //Trap
0            523          71             00         222            165            08             //Trap
0            523          71             00         222            170            08             //Trap
0            523          71             00         222            175            08             //Trap
0            523          71             00         222            180            08             //Trap
0            523          71             00         222            185            08             //Trap
0            523          71             00         222            190            08             //Trap
0            523          71             00         113            193            08             //Trap
0            523          71             00         112            198            08             //Trap
0            523          71             00         112            203            08             //Trap
0            523          71             00         107            203            08             //Trap
0            523          71             00         102            203            08             //Trap
0            523          71             00         097            203            08             //Trap
0            523          71             00         093            203            08             //Trap
0            523          71             00         093            198            08             //Trap
0            523          71             00         093            192            08             //Trap
0            523          71             00         093            187            08             //Trap
0            523          71             00         097            186            08             //Trap
0            523          71             00         102            186            08             //Trap
0            523          71             00         107            186            08             //Trap
0            523          71             00         112            187            08             //Trap
0            523          71             00         222            165            08             //Trap
0            523          71             00         222            170            08             //Trap
0            523          71             00         222            175            08             //Trap
0            523          71             00         222            180            08             //Trap
0            523          71             00         222            185            08             //Trap
0            523          71             00         222            190            08             //Trap
0            526          71             00         111            197            03             //Stone Statue
0            526          71             00         111            192            03             //Stone Statue
0            526          71             00         220            173            01             //Stone Statue
0            526          71             00         224            173            01             //Stone Statue
0            526          71             00         158            236            01             //Stone Statue
0            526          71             00         175            238            01             //Stone Statue
end

3
//Stage      Monster      MapNumber      Range      PositionX      PositionY      Direction      Comment
0            523          72             00         045            067            08             //Trap
0            523          72             00         045            074            08             //Trap
0            523          72             00         041            074            08             //Trap
0            523          72             00         041            067            08             //Trap
0            523          72             00         037            067            08             //Trap
0            523          72             00         037            074            08             //Trap
0            523          72             00         033            067            08             //Trap
0            523          72             00         033            074            08             //Trap
0            523          72             00         029            067            08             //Trap
0            523          72             00         029            074            08             //Trap
0            523          72             00         031            078            08             //Trap
0            523          72             00         031            083            08             //Trap
0            523          72             00         031            087            08             //Trap
0            523          72             00         057            191            08             //Trap
0            523          72             00         061            191            08             //Trap
0            523          72             00         065            191            08             //Trap
0            523          72             00         069            191            08             //Trap
0            523          72             00         068            186            08             //Trap
0            523          72             00         068            181            08             //Trap
0            523          72             00         068            176            08             //Trap
0            523          72             00         068            171            08             //Trap
0            523          72             00         202            133            08             //Trap
0            523          72             00         206            133            08             //Trap
0            523          72             00         210            133            08             //Trap
0            523          72             00         214            133            08             //Trap
0            523          72             00         218            133            08             //Trap
0            523          72             00         222            133            08             //Trap
0            523          72             00         226            133            08             //Trap
0            523          72             00         224            137            08             //Trap
0            523          72             00         224            142            08             //Trap
0            523          72             00         224            147            08             //Trap
0            523          72             00         224            152            08             //Trap
0            523          72             00         224            155            08             //Trap
0            526          72             00         052            077            02             //Stone Statue
0            526          72             00         053            061            04             //Stone Statue
0            526          72             00         021            198            02             //Stone Statue
0            526          72             00         047            199            01             //Stone Statue
0            526          72             00         161            139            01             //Stone Statue
0            526          72             00         161            127            05             //Stone Statue
0            526          72             00         207            032            01             //Stone Statue
0            526          72             00         207            020            05             //Stone Statue
end
