//Index   StartType   MonsterClass   CurrentState   RequireIndex   RequireState   RequireMinLevel   RequireMaxLevel   DW      DK      FE      MG      DL      SU      RF      GL      RW      SL      GC
0         0           235            0              *              *              150               *                 1       1       1       0       0       1       0       0       1       1       1
0         0           235            1              *              *              150               *                 1       1       1       0       0       1       0       0       1       1       1
0         0           235            2              *              *              150               *                 1       1       1       0       0       1       0       0       1       1       1
0         0           235            3              *              *              150               *                 1       1       1       0       0       1       0       0       1       1       1
1         0           235            0              0              2              150               *                 1       1       1       0       0       1       0       0       1       1       1
1         0           235            1              0              2              150               *                 1       1       1       0       0       1       0       0       1       1       1       
1         0           235            2              0              2              150               *                 1       1       1       0       0       1       0       0       1       1       1
1         0           235            3              0              2              150               *                 1       1       1       0       0       1       0       0       1       1       1
2         0           229            0              1              2              220               *                 2       2       2       0       0       2       0       0       2       2       2
2         0           229            1              1              2              220               *                 2       2       2       0       0       2       0       0       2       2       2       
2         0           229            2              1              2              220               *                 2       2       2       0       0       2       0       0       2       2       2
2         0           229            3              1              2              220               *                 2       2       2       0       0       2       0       0       2       2       2
3         0           229            0              2              2              220               *                 0       2       0       0       0       0       0       0       0       2       2
3         0           229            0              *              *              220               *                 0       0       0       0       0       0       0       1       0       0       0
3         0           229            1              2              2              220               *                 0       2       0       0       0       0       0       0       0       2       0
3         0           229            1              *              *              220               *                 0       0       0       0       0       0       0       1       0       0       0
3         0           229            2              2              2              220               *                 0       2       0       0       0       0       0       0       0       2       0
3         0           229            2              *              *              220               *                 0       0       0       0       0       0       0       1       0       0       0
3         0           229            3              2              2              220               *                 0       2       0       0       0       0       0       0       0       2       0
3         0           229            3              *              *              220               *                 0       0       0       0       0       0       0       1       0       0       0
4         0           406            0              2              2              380               *                 2       0       2       0       0       2       0       0       2       0       0
4         0           406            0              3              2              380               *                 0       2       0       0       0       0       0       1       0       2       0
4         0           406            0              *              *              380               *                 0       0       0       1       1       0       1       0       0       0       0
4         0           406            1              2              2              380               *                 2       0       2       0       0       2       0       0       2       0       0
4         0           406            1              3              2              380               *                 0       2       0       0       0       0       0       1       0       2       0
4         0           406            1              *              *              380               *                 0       0       0       1       1       0       1       0       0       0       0
4         0           406            2              2              2              380               *                 2       0       2       0       0       2       0       0       2       0       0
4         0           406            2              3              2              380               *                 0       2       0       0       0       0       0       1       0       2       0
4         0           406            2              *              *              380               *                 0       0       0       1       1       0       1       0       0       0       0
4         0           406            3              2              2              380               *                 2       0       2       0       0       2       0       0       2       0       0
4         0           406            3              3              2              380               *                 0       2       0       0       0       0       0       1       0       2       0
4         0           406            3              *              *              380               *                 0       0       0       1       1       0       1       0       0       0       0
5         0           406            0              4              2              400               *                 2       2       2       1       1       2       1       1       2       2       2
5         0           406            1              4              2              400               *                 2       2       2       1       1       2       1       1       2       2       2
5         0           406            2              4              2              400               *                 2       2       2       1       1       2       1       1       2       2       2
5         0           406            3              4              2              400               *                 2       2       2       1       1       2       1       1       2       2       2
6         0           406            0              5              2              400               *                 2       2       2       1       1       2       1       1       2       2       2
6         0           406            1              5              2              400               *                 2       2       2       1       1       2       1       1       2       2       2
6         0           406            2              5              2              400               *                 2       2       2       1       1       2       1       1       2       2       2
6         0           406            3              5              2              400               *                 2       2       2       1       1       2       1       1       2       2       2
7         0           766            0              6              2              800               *                 3       3       3       3       3       3       3       3       3       3       3
7         0           766            1              6              2              800               *                 3       3       3       3       3       3       3       3       3       3       3
7         0           766            2              6              2              800               *                 3       3       3       3       3       3       3       3       3       3       3
7         0           766            3              6              2              800               *                 3       3       3       3       3       3       3       3       3       3       3
8         0           766            0              7              2              800               *                 3       3       3       3       3       3       3       3       3       3       3
8         0           766            1              7              2              800               *                 3       3       3       3       3       3       3       3       3       3       3
8         0           766            2              7              2              800               *                 3       3       3       3       3       3       3       3       3       3       3       
8         0           766            3              7              2              800               *                 3       3       3       3       3       3       3       3       3       3       3
9         0           766            0              8              2              800               *                 3       3       3       3       3       3       3       3       3       3       3
9         0           766            1              8              2              800               *                 3       3       3       3       3       3       3       3       3       3       3
9         0           766            2              8              2              800               *                 3       3       3       3       3       3       3       3       3       3       3
9         0           766            3              8              2              800               *                 3       3       3       3       3       3       3       3       3       3       3
end
