//Index   Group   ObjectiveMap   ObjectiveMapX   ObjectiveMapY   ObjectiveGate   ObjectiveType   ObjectiveIndex   ObjectiveCount   RewardExpValue   RewardZenValue   RewardMainIndex   RewardMainCount   RewardSideIndex   RewardSideCount   RequireMinLevel   DW      DK      FE      MG      DL      SU      RF      GL      RW      SL      GC
11        1       0              167             129             17              5               *                *                85               100              *                 *                 *                 *                 1                 1       1       0       1       1       0       1       1       0       1       0
12        1       3              168             86              27              5               *                *                85               100              *                 *                 *                 *                 1                 0       0       1       0       0       0       0       0       1       0       0
13        1       51             72              218             267             5               *                *                85               100              *                 *                 *                 *                 1                 0       0       0       0       0       1       0       0       0       0       1
14        1       0              193             126             17              2               3                3                300              2000             7541              1                 *                 *                 2                 1       1       0       1       1       0       1       1       0       1       0
15        1       3              164             80              27              2               3                3                300              2000             7541              1                 *                 *                 2                 0       0       1       0       0       0       0       0       1       0       0
16        1       51             118             222             267             2               3                3                300              2000             7541              1                 *                 *                 2                 0       0       0       0       0       1       0       0       0       0       1
17        1       0              179             55              17              2               0                5                500              3000             *                 *                 *                 *                 2                 1       1       0       1       1       0       1       1       0       1       0
18        1       3              136             79              27              2               27               5                500              3000             *                 *                 *                 *                 2                 0       0       1       0       0       0       0       0       1       0       0
19        1       51             132             212             267             2               421              5                500              3000             *                 *                 *                 *                 2                 0       0       0       0       0       1       0       0       0       0       1
20        1       0              42              52              17              2               7                5                1200             7000             *                 *                 *                 *                 2                 1       1       0       1       1       0       1       1       0       1       0
21        1       3              102             83              27              2               28               5                1200             7000             *                 *                 *                 *                 2                 0       0       1       0       0       0       0       0       1       0       0
22        1       51             126             192             267             2               418              5                1200             7000             *                 *                 *                 *                 2                 0       0       0       0       0       1       0       0       0       0       1
23        1       0              117             140             17              5               *                *                100              100              *                 *                 *                 *                 5                 1       1       0       1       1       0       1       1       0       1       0
24        1       3              173             126             27              5               *                *                100              100              *                 *                 *                 *                 5                 0       0       1       0       0       0       0       0       1       0       0
25        1       51             31              236             267             5               *                *                100              100              *                 *                 *                 *                 5                 0       0       0       0       0       1       0       0       0       0       1
26        1       0              193             126             17              1               7168             5                1000             200              7541              1                 *                 *                 5                 1       1       0       1       1       0       1       1       0       1       0
27        1       3              164             80              27              1               7168             5                1000             200              7541              1                 *                 *                 5                 0       0       1       0       0       0       0       0       1       0       0
28        1       51             118             222             267             1               7168             5                1000             200              7541              1                 *                 *                 5                 0       0       0       0       0       1       0       0       0       0       1
29        1       0              34              98              17              2               4                7                1500             6000             *                 *                 *                 *                 5                 1       1       0       1       1       0       1       1       0       1       0
30        1       3              106             37              27              2               29               7                1500             6000             *                 *                 *                 *                 5                 0       0       1       0       0       0       0       0       1       0       0
31        1       51             126             192             267             2               418              7                1500             6000             *                 *                 *                 *                 5                 0       0       0       0       0       1       0       0       0       0       1
32        1       0              63              195             17              2               1                7                2000             8000             *                 *                 *                 *                 5                 1       1       0       1       1       0       1       1       0       1       0
33        1       3              81              116             27              2               33               7                2000             8000             *                 *                 *                 *                 5                 0       0       1       0       0       0       0       0       1       0       0
34        1       51             142             144             267             2               419              7                2000             8000             *                 *                 *                 *                 5                 0       0       0       0       0       1       0       0       0       0       1
35        1       0              118             207             17              2               14               10               2200             10000            *                 *                 *                 *                 5                 1       1       0       1       1       0       1       1       0       1       0
36        1       3              134             208             27              2               30               10               2200             10000            *                 *                 *                 *                 5                 0       0       1       0       0       0       0       0       1       0       0
37        1       51             142             144             267             2               419              10               2200             10000            *                 *                 *                 *                 5                 0       0       0       0       0       1       0       0       0       0       1
