//Index   Group   StartIndex   StartValue   ObjectiveMap   ObjectiveMapX   ObjectiveMapY   ObjectiveGate   ObjectiveType   ObjectiveIndex   ObjectiveCount   ObjectiveClass   ObjectiveRatio   RewardExpValue   RewardZenValue   RewardConValue   RewardMainIndex   RewardMainLevel   RewardMainCount   RewardSideIndex   RewardSideLevel   RewardSideCount   RewardPlusIndex   RewardPlusLevel   RewardPlusCount   RequirePriority   RequireMinLevel   RequireMaxLevel   RequireFamily   RequireDoW   RequireCDW   DW      DK      FE      MG      DL      SU      RF      GL      RW      SL      GC
1         1       1            5            0              167             129             17              5               *                1                *                *                50               50               0                *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 5                 *                 *               *            *            1       1       1       1       1       1       1       1       1       1       1
2         1       2            257          0              167             129             17              6               *                1                *                *                50               50               0                *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 5                 *                 *               *            *            1       1       1       1       1       1       1       1       1       1       1
3         1       2            257          0              167             129             17              6               *                1                *                *                50               500              0                *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 5                 *                 *               *            *            1       1       1       1       1       1       1       1       1       1       1
4         1       2            257          0              167             129             17              6               *                1                *                *                50               500              0                *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 5                 *                 *               *            *            1       1       1       1       1       1       1       1       1       1       1
5         1       2            257          0              167             129             17              1               7168             5                *                0                100              1000             0                *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 5                 *                 *               *            *            1       1       1       1       1       1       1       1       1       1       1
6         1       2            257          3              136             79              27              2               27               3                *                *                250              1000             0                *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 5                 *                 *               *            *            0       0       1       0       0       0       0       0       1       0       1
7         1       2            257          0              204             134             17              2               2                3                *                *                250              1000             0                *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 5                 *                 *               *            *            1       1       0       1       1       0       1       1       0       1       0
8         1       2            257          51             126             192             267             2               418              3                *                *                250              1000             0                *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 5                 *                 *               *            *            0       0       0       0       0       1       0       0       0       0       0
9         1       2            257          3              102             83              27              2               28               30               *                *                5000             3000             0                *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 5                 *                 *               *            *            0       0       1       0       0       0       0       0       1       0       1
10        1       2            257          0              63              195             17              2               1                30               *                *                5000             3000             0                *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 5                 *                 *               *            *            1       1       0       1       1       0       1       1       0       1       0
11        1       2            257          51             132             212             267             2               421              30               *                *                5000             3000             0                *                 *                 *                 *                 *                 *                 *                 *                 *                 *                 5                 *                 *               *            *            0       0       0       0       0       1       0       0       0       0       0
12        1       2            257          0              167             129             17              6               *                1                *                *                300              0                0                2056              3                 1                 6155              1                 1                 *                 *                 *                 *                 5                 *                 *               *            *            0       0       1       0       0       0       0       0       1       0       1
13        1       2            257          0              167             129             17              6               *                1                *                *                300              0                0                514               3                 1                 *                 *                 *                 *                 *                 *                 *                 5                 *                 *               *            *            0       1       0       0       0       0       0       0       0       0       0
14        1       2            257          0              167             129             17              6               *                1                *                *                300              0                0                7683              0                 1                 *                 *                 *                 *                 *                 *                 *                 5                 *                 *               *            *            1       0       0       0       0       0       0       0       0       0       0
15        1       2            257          0              167             129             17              6               *                1                *                *                300              0                0                7683              0                 1                 *                 *                 *                 *                 *                 *                 *                 5                 *                 *               *            *            0       0       0       0       0       1       0       0       0       0       0
16        1       2            257          0              167             129             17              3               25               1                *                *                50               50               0                6658              0                 1                 *                 *                 *                 *                 *                 *                 *                 5                 *                 *               *            *            1       1       1       1       1       1       1       1       1       1       1
17        1       2            257          0              167             129             17              6               *                1                *                *                3000             40000            0                6656              0                 1                 6676              1                 1                 6676              2                 1                 *                 25                *                 *               *            *            1       1       1       1       1       1       1       1       1       1       1
