0
//Index   Level   Count   Option1   Option2   Option3   NewOption   Value   Comment
7015      0       0       0         0         0         0           50000   //Bloodangel Armor of Sealed Trans
7016      0       0       0         0         0         0           50000   //Bloodangel Helm of Sealed Trans
7017      0       0       0         0         0         0           50000   //Bloodangel Pants of Sealed Trans
7018      0       0       0         0         0         0           50000   //Bloodangel Gloves of Sealed Trans
2601      0       0       0         0         0         0           50000   //Bloodangel Staff
7509      0       0       0         0         0         0           50000   //Darkangel Soul
7554      0       0       0         0         0         0           100000  //Darkangel Anvil
7557      0       0       0         0         0         0           50000   //Holyangel Soul
7584      0       0       0         0         0         0           100000  //Holyangel Anvil
7583      0       0       0         0         0         0           50000   //Awakening Soul
7552      0       0       0         0         0         0           1000    //Sphere Upgrade Rune Capsule
7532      0       0       0         0         0         0           5000    //Socket Upgrade Note
6434      0       0       0         0         0         0           1000    //Scroll of Meteor Strike
6435      0       0       0         0         0         0           1000    //Scroll of Meteor Storm
6436      0       0       0         0         0         0           1000    //Scroll of Soul Seeker
7558      0       5       0         0         0         0           2500    //Spirit Nixie's Shard
6551      0       0       0         0         0         0           1000    //[Bound]Loch's Magic Solution
6553      0       0       0         0         0         0           75000   //[Bound]Condor's Magic Solution
7617      0       0       0         0         0         0           50000   //Cold Marriage
7618      0       0       0         0         0         0           100000  //Soul Moru
14,495    0       0       0         0         0         0           100000  //Blue Eye Anvil
14,502    0       0       0         0         0         0           100000  //Silver Heart's Anvil
14,501    0       0       0         0         0         0           50000   //Manticore Soul
14,458    0       0       0         0         0         0           1000    //Ancestral Frame
14,494    0       0       0         0         0         0           1000    //Ancestral Spirit
14,497    0       0       0         0         0         0           1000    //Glory of Honor
14,498    0       0       0         0         0         0           10000   //Ice Dragon Seal
end

1
//Index   Level   Count   Option1   Option2   Option3   NewOption   Value   Comment
7007      0       0       0         0         0         0           50000   //Bloodangel Armor of Sealed Fury
7008      0       0       0         0         0         0           50000   //Bloodangel Helm of Sealed Fury
7009      0       0       0         0         0         0           50000   //Bloodangel Pants of Sealed Fury
7010      0       0       0         0         0         0           50000   //Bloodangel Boots of Sealed Fury
13,396    0       0       0         0         0         0           50000   //Sealed Defense Bloodangel Armor (Conviction)
13,395    0       0       0         0         0         0           50000   //Sealed Defense Bloodangel Helm (Conviction)
13,397    0       0       0         0         0         0           50000   //Sealed Defense Bloodangel Pants (Conviction)
13,398    0       0       0         0         0         0           50000   //Sealed Defense Bloodangel Boots (Conviction)
0042      0       0       0         0         0         0           50000   //Bloodangel Sword
6,44      0       0       0         0         0         0           50000   //Bloodangel Shield
7509      0       0       0         0         0         0           50000   //Darkangel Soul
7554      0       0       0         0         0         0           100000  //Darkangel Anvil
7557      0       0       0         0         0         0           50000   //Holyangel Soul
7584      0       0       0         0         0         0           100000  //Holyangel Anvil
7583      0       0       0         0         0         0           50000   //Awakening Soul
7552      0       0       0         0         0         0           1000    //Sphere Upgrade Rune Capsule
7532      0       0       0         0         0         0           5000    //Socket Upgrade Note
6433      0       0       0         0         0         0           1000    //Orb of Fire Blow
