//Index   Level   Count   Option1   Option2   Option3   NewOption   Comment
7168      0       1       0         0         0         0           //Apple
7169      0       1       0         0         0         0           //Small Healing Potion
7170      0       1       0         0         0         0           //Healing Potion
7171      0       1       0         0         0         0           //Large Healing Potion
7172      0       1       0         0         0         0           //Small Mana Potion
7173      0       1       0         0         0         0           //Mana Potion
7174      0       1       0         0         0         0           //Large Mana Potion
7176      0       1       0         0         0         0           //Antidote
7168      0       3       0         0         0         0           //Apple
7169      0       3       0         0         0         0           //Small Healing Potion
7170      0       3       0         0         0         0           //Healing Potion
7171      0       3       0         0         0         0           //Large Healing Potion
7172      0       3       0         0         0         0           //Small Mana Potion
7173      0       3       0         0         0         0           //Mana Potion
7174      0       3       0         0         0         0           //Large Mana Potion
7176      0       3       0         0         0         0           //Antidote
7168      1       1       0         0         0         0           //Apple
7169      1       1       0         0         0         0           //Small Healing Potion
7170      1       1       0         0         0         0           //Healing Potion
7171      1       1       0         0         0         0           //Large Healing Potion
7168      1       3       0         0         0         0           //Apple
7169      1       3       0         0         0         0           //Small Healing Potion
7170      1       3       0         0         0         0           //Healing Potion
7171      1       3       0         0         0         0           //Large Healing Potion
6152      0       1       0         0         0         0           //Healing Orb
6153      0       1       0         0         0         0           //Orb of Greater Fortitude
6154      0       1       0         0         0         0           //Orb of Greater Damage
6155      0       1       0         0         0         0           //Orb of Summoning
6155      1       1       0         0         0         0           //Orb of Summoning
6155      2       1       0         0         0         0           //Orb of Summoning
6155      3       1       0         0         0         0           //Orb of Summoning
6155      4       1       0         0         0         0           //Orb of Summoning
3594      0       0       0         1         1         0           //Vine Helm
4106      0       0       0         1         1         0           //Vine Armor
4618      0       0       0         1         1         0           //Vine Pants
5130      0       0       0         1         1         0           //Vine Gloves
5642      0       0       0         1         1         0           //Vine Boots
3595      2       0       0         1         1         0           //Silk Helm
4107      2       0       0         1         1         0           //Silk Armor
4619      2       0       0         1         1         0           //Silk Pants
5131      2       0       0         1         1         0           //Silk Gloves
5643      2       0       0         1         1         0           //Silk Boots
3596      3       0       0         1         1         0           //Wind Helm
4108      3       0       0         1         1         0           //Wind Armor
4620      3       0       0         1         1         0           //Wind Pants
5132      3       0       0         1         1         0           //Wind Gloves
5644      3       0       0         1         1         0           //Wind Boots
6685      0       1       0         0         0         0           //Armor of Guardsman
7178      0       1       0         0         0         0           //Town Portal Scroll
2055      0       255     0         0         0         0           //Bolt
2055      1       255     0         0         0         0           //Bolt
2055      2       255     0         0         0         0           //Bolt
2055      3       255     0         0         0         0           //Bolt
2063      0       255     0         0         0         0           //Arrow
2063      1       255     0         0         0         0           //Arrow
2063      2       255     0         0         0         0           //Arrow
2063      3       255     0         0         0         0           //Arrow
end
