//Index   Level   Count   Option1   Option2   Option3   NewOption   Comment
7168      0       1       0         0         0         0           //Apple
7169      0       1       0         0         0         0           //Small Healing Potion
7170      0       1       0         0         0         0           //Healing Potion
7171      0       1       0         0         0         0           //Large Healing Potion
7172      0       1       0         0         0         0           //Small Mana Potion
7173      0       1       0         0         0         0           //Mana Potion
7174      0       1       0         0         0         0           //Large Mana Potion
7176      0       1       0         0         0         0           //Antidote
7168      0       3       0         0         0         0           //Apple
7169      0       3       0         0         0         0           //Small Healing Potion
7170      0       3       0         0         0         0           //Healing Potion
7171      0       3       0         0         0         0           //Large Healing Potion
7172      0       3       0         0         0         0           //Small Mana Potion
7173      0       3       0         0         0         0           //Mana Potion
7174      0       3       0         0         0         0           //Large Mana Potion
7176      0       3       0         0         0         0           //Antidote
7168      1       1       0         0         0         0           //Apple
7169      1       1       0         0         0         0           //Small Healing Potion
7170      1       1       0         0         0         0           //Healing Potion
7171      1       1       0         0         0         0           //Large Healing Potion
7168      1       3       0         0         0         0           //Apple
7169      1       3       0         0         0         0           //Small Healing Potion
7170      1       3       0         0         0         0           //Healing Potion
7171      1       3       0         0         0         0           //Large Healing Potion
2055      0       255     0         0         0         0           //Bolt
2055      1       255     0         0         0         0           //Bolt
2055      2       255     0         0         0         0           //Bolt
2055      3       255     0         0         0         0           //Bolt
2063      0       255     0         0         0         0           //Arrow
2063      1       255     0         0         0         0           //Arrow
2063      2       255     0         0         0         0           //Arrow
2063      3       255     0         0         0         0           //Arrow
6663      0       1       0         0         0         0           //Contract (Summon)
6663      1       1       0         0         0         0           //Contract (Summon)
7178      0       1       0         0         0         0           //Town Portal Scroll
6685      0       1       0         0         0         0           //Armor of Guardsman
end
