//Index   AttrType   AttrRate
1         5          150
2         3          190
3         4          180
4         1          197
5         1          120
7         2          150
8         4          140
9         5          110
10        1          130
11        4          195
12        2          140
13        4          130
14        1          110
17        4          200
19        4          180
20        4          170
21        4          190
22        4          165
23        4          185
24        4          160
38        5          110
39        2          115
40        1          160
41        4          150
42        3          125
43        4          105
47        4          170
49        1          150
51        2          115
52        4          130
55        5          105
56        4          125
60        4          160
61        1          135
62        3          100
65        4          100
66        4          160
78        1          115
214       5          100
215       4          105
223       1          120
224       3          125
225       4          125
230       4          105
232       2          135
235       4          105
236       1          135
237       4          115
238       5          105
260       3          155
261       1          155
262       2          105
263       3          115
264       3          100
265       4          100
270       4          125
271       2          100
274       2          100
276       1          110
277       4          110
279       1          110
282       2          105
283       5          100
284       5          110
285       5          115
288       5          125
292       5          100
293       5          100
294       5          120
344       4          138
427       5          165
495       3          135
631       4          150
723       1          105
724       3          110
725       3          130
726       5          110
727       4          130
729       1          105
730       2          105
731       2          105
732       1          105
733       5          110
734       3          110
737       4          105
739       5          110
//Index   AttrType   AttrRate
1500      2          105
2002      2          105
2003      2          105
2004      1          105
2005      1          105
2006      2          105
end 
