//Index   StatType   StatDivi
1         3          50
2         3          45
3         3          40
4         3          30
5         3          100
7         3          45
8         3          90
9         3          150
10        3          200
11        3          30
12        3          200
13        3          150
14        3          90
17        3          30
19        0          30
20        0          30
21        0          30
22        0          30
23        0          30
24        1          100
38        3          100
39        3          90
41        0          40
42        0          150
43        0          150
47        0          35
51        1          150
52        1          200
55        0          150
56        0          100
60        0          40
61        0          100
65        0          100
66        0          30
78        0          150
215       3          200
223       3          150
224       3          150
225       3          150
230       3          200
232       0          150
235       1          200
236       0          200
237       3          250
238       0          150
260       2          200
261       2          200
270       2          200
282       2          10
283       3          500
284       3          200
285       3          100
288       3          150
292       2          150
293       2          150
294       2          150
344       0          200
427       1          100
495       3          200
723       0          150
724       3          170
725       3          200
726       3          170
727       1          100
729       3          170
730       3          170
731       0          750
732       0          750
733       3          170
734       3          170
737       0          250
739       2          170
//Index   StatType   StatDivi
2001      3          80
2002      3          80
2004      3          80
2006      3          80
end 
